month,year,avg_energy_price,avg_gasoline_price,avg_natural_gas_price
january,2008,88.462,1.7398,5.5025
february,2008,90.187,1.7648,5.0140
march,2008,97.428,1.8749,6.8309
april,2008,101.01,1.9133,10.286
may,2008,109.80,1.9688,11.388
june,2008,121.61,2.0888,12.694
july,2008,130.83,2.1756,10.847
august,2008,120.30,1.9338,7.8154
september,2008,114.27,1.8183,7.5539
october,2008,98.974,1.5877,6.7534
november,2008,80.695,1.3289,6.6964
december,2008,75.430,1.2174,5.7846
january,2009,70.209,1.1317,5.0707
february,2009,58.751,1.1088,4.3675
march,2009,59.799,1.2130,4.0125
april,2009,66.909,1.2754,3.5603
may,2009,71.239,1.3651,3.9148
june,2009,70.627,1.5049,3.9443
july,2009,66.293,1.5577,3.5516
august,2009,68.197,1.5963,3.3074
september,2009,66.192,1.6218,3.4342
october,2009,67.146,1.5771,4.8268
november,2009,65.089,1.6380,4.6558
december,2009,62.415,1.5794,5.3383
january,2010,68.621,1.6446,5.5771
february,2010,62.545,1.5948,5.2291
march,2010,59.642,1.6536,4.3021
april,2010,62.850,1.6847,4.0907
may,2010,62.738,1.5801,4.1652
june,2010,62.354,1.5264,4.7808
july,2010,62.068,1.6284,4.6010
august,2010,62.907,1.6438,4.2386
september,2010,62.941,1.6608,3.8894
october,2010,64.740,1.7685,3.6035
november,2010,63.157,1.7346,4.0617
december,2010,64.712,1.7136,4.2796
january,2011,66.995,1.8152,4.4904
february,2011,68.604,1.8636,4.0340
march,2011,75.449,1.9535,4.0706
april,2011,81.110,2.0720,4.2704
may,2011,80.973,2.0658,4.3490
june,2011,81.173,2.0605,4.5297
july,2011,79.002,2.0399,4.3514
august,2011,79.348,2.0466,3.9868
september,2011,76.503,1.9487,3.8504
october,2011,73.334,1.9243,3.6259
november,2011,71.872,1.8543,3.5591
december,2011,67.361,1.7957,3.2479
january,2012,63.745,1.7993,2.6963
february,2012,66.807,1.9013,2.5310
march,2012,66.290,1.9699,2.2929
april,2012,64.888,1.9999,2.0511
may,2012,61.044,1.8871,2.4948
june,2012,58.952,1.7686,2.5036
july,2012,57.709,1.7452,2.9626
august,2012,59.524,1.8497,2.8107
september,2012,60.931,1.9859,2.9145
october,2012,60.670,1.9665,3.5102
november,2012,59.376,1.8256,3.7010
december,2012,59.516,1.8299,3.4347
january,2013,56.643,1.8409,3.3618
february,2013,55.609,1.9074,3.3080
march,2013,52.566,1.8470,3.7880
april,2013,51.552,1.8213,4.1636
may,2013,49.328,1.7833,4.0800
june,2013,48.863,1.8464,3.8110
july,2013,48.049,1.8455,3.6426
august,2013,47.449,1.8972,3.4150
september,2013,50.326,1.9069,3.6200
october,2013,50.276,1.9065,3.6582
november,2013,49.249,1.7865,3.6576
december,2013,48.913,1.7981,4.2840
january,2014,48.119,1.7922,4.5431
february,2014,48.375,1.7947,5.1810
march,2014,47.689,1.8079,4.4842
april,2014,46.421,1.8066,4.6033
may,2014,46.275,1.8128,4.5322
june,2014,45.677,1.8056,4.5971
july,2014,46.238,1.8211,4.0408
august,2014,46.324,1.7622,3.9042
september,2014,44.380,1.7158,3.9263
october,2014,42.753,1.6790,3.8082
november,2014,43.025,1.6026,4.2330
december,2014,41.277,1.4929,3.4960
january,2015,36.568,1.2803,2.9414
february,2015,36.940,1.2275,2.7610
march,2015,34.626,1.2361,2.7490
april,2015,34.128,1.2510,2.5890
may,2015,34.825,1.3299,2.8600
june,2015,35.135,1.3530,2.7704
july,2015,34.801,1.3424,2.8091
august,2015,33.972,1.3467,2.7547
september,2015,33.370,1.3051,2.6390
october,2015,32.784,1.2599,2.3872
november,2015,31.469,1.1758,2.2809
december,2015,29.123,1.1661,2.0481
january,2016,26.624,1.1220,2.2310
february,2016,24.646,1.1069,1.9314
march,2016,24.573,1.0979,1.8113
april,2016,26.973,1.1664,2.0133
may,2016,28.514,1.2020,2.0877
june,2016,30.924,1.2363,2.6231
july,2016,31.284,1.2174,2.7685
august,2016,30.504,1.2083,2.7217
september,2016,30.663,1.2131,2.9000
october,2016,35.212,1.2045,3.0714
november,2016,35.518,1.1844,2.8800
december,2016,30.127,1.1759,3.5852
