month,year,avg_energy_price
january,2008,88.462
february,2008,90.187
march,2008,97.428
april,2008,101.01
may,2008,109.80
june,2008,121.61
july,2008,130.83
august,2008,120.30
september,2008,114.27
october,2008,98.974
november,2008,80.695
december,2008,75.430
january,2009,70.209
february,2009,58.751
march,2009,59.799
april,2009,66.909
may,2009,71.239
june,2009,70.627
july,2009,66.293
august,2009,68.197
september,2009,66.192
october,2009,67.146
november,2009,65.089
december,2009,62.415
january,2010,68.621
february,2010,62.545
march,2010,59.642
april,2010,62.850
may,2010,62.738
june,2010,62.354
july,2010,62.068
august,2010,62.907
september,2010,62.941
october,2010,64.740
november,2010,63.157
december,2010,64.712
january,2011,66.995
february,2011,68.604
march,2011,75.449
april,2011,81.110
may,2011,80.973
june,2011,81.173
july,2011,79.002
august,2011,79.348
september,2011,76.503
october,2011,73.334
november,2011,71.872
december,2011,67.361
january,2012,63.745
february,2012,66.807
march,2012,66.290
april,2012,64.888
may,2012,61.044
june,2012,58.952
july,2012,57.709
august,2012,59.524
september,2012,60.931
october,2012,60.670
november,2012,59.376
december,2012,59.516
january,2013,56.643
february,2013,55.609
march,2013,52.566
april,2013,51.552
may,2013,49.328
june,2013,48.863
july,2013,48.049
august,2013,47.449
september,2013,50.326
october,2013,50.276
november,2013,49.249
december,2013,48.913
january,2014,48.119
february,2014,48.375
march,2014,47.689
april,2014,46.421
may,2014,46.275
june,2014,45.677
july,2014,46.238
august,2014,46.324
september,2014,44.380
october,2014,42.753
november,2014,43.025
december,2014,41.277
january,2015,36.568
february,2015,36.940
march,2015,34.626
april,2015,34.128
may,2015,34.825
june,2015,35.135
july,2015,34.801
august,2015,33.972
september,2015,33.370
october,2015,32.784
november,2015,31.469
december,2015,29.123
january,2016,26.624
february,2016,24.646
march,2016,24.573
april,2016,26.973
may,2016,28.514
june,2016,30.924
july,2016,31.284
august,2016,30.504
september,2016,30.663
october,2016,35.212
november,2016,35.518
december,2016,30.127
january,2017,31.857
february,2017,32.357
march,2017,31.537
april,2017,32.162
may,2017,33.067
june,2017,34.902
july,2017,36.920
august,2017,38.976
september,2017,42.616
october,2017,43.248
november,2017,44.248
december,2017,44.130
january,2018,44.642
february,2018,43.048
march,2018,44.082
april,2018,47.455
may,2018,49.739
june,2018,50.237
july,2018,53.376
august,2018,55.817
september,2018,64.266
october,2018,63.452
november,2018,60.906
december,2018,63.097
january,2019,58.270
february,2019,55.444
march,2019,55.564
april,2019,58.051
may,2019,57.054
june,2019,56.832
july,2019,60.228
august,2019,57.420
september,2019,56.991
october,2019,55.661
november,2019,54.039
december,2019,51.397
january,2020,51.405
february,2020,49.087
march,2020,46.625
april,2020,46.003
may,2020,45.330
june,2020,49.241
july,2020,52.127
august,2020,52.084
september,2020,52.451
october,2020,49.924
november,2020,49.531
december,2020,58.257
january,2021,63.534
february,2021,65.185
march,2021,66.957
april,2021,71.258
may,2021,80.959
june,2021,83.360
july,2021,88.146
august,2021,99.071
september,2021,123.82
october,2021,149.98
november,2021,143.81
december,2021,238.16
january,2022,145.73
february,2022,164.49
march,2022,187.10
april,2022,214.68
may,2022,239.92
june,2022,261.98
july,2022,353.61
august,2022,541.39
september,2022,487.53
october,2022,392.53
november,2022,346.67
december,2022,331.30
january,2023,197.35
february,2023,175.35
march,2023,149.29
april,2023,161.10
may,2023,150.59
june,2023,150.19
july,2023,156.26
august,2023,152.26
september,2023,138.98
october,2023,135.79
november,2023,125.17
