month,year,avg_natural_gas_price
january,2008,5.5025
february,2008,5.0140
march,2008,6.8309
april,2008,10.286
may,2008,11.388
june,2008,12.694
july,2008,10.847
august,2008,7.8154
september,2008,7.5539
october,2008,6.7534
november,2008,6.6964
december,2008,5.7846
january,2009,5.0707
february,2009,4.3675
march,2009,4.0125
april,2009,3.5603
may,2009,3.9148
june,2009,3.9443
july,2009,3.5516
august,2009,3.3074
september,2009,3.4342
october,2009,4.8268
november,2009,4.6558
december,2009,5.3383
january,2010,5.5771
february,2010,5.2291
march,2010,4.3021
april,2010,4.0907
may,2010,4.1652
june,2010,4.7808
july,2010,4.6010
august,2010,4.2386
september,2010,3.8894
october,2010,3.6035
november,2010,4.0617
december,2010,4.2796
january,2011,4.4904
february,2011,4.0340
march,2011,4.0706
april,2011,4.2704
may,2011,4.3490
june,2011,4.5297
july,2011,4.3514
august,2011,3.9868
september,2011,3.8504
october,2011,3.6259
november,2011,3.5591
december,2011,3.2479
january,2012,2.6963
february,2012,2.5310
march,2012,2.2929
april,2012,2.0511
may,2012,2.4948
june,2012,2.5036
july,2012,2.9626
august,2012,2.8107
september,2012,2.9145
october,2012,3.5102
november,2012,3.7010
december,2012,3.4347
january,2013,3.3618
february,2013,3.3080
march,2013,3.7880
april,2013,4.1636
may,2013,4.0800
june,2013,3.8110
july,2013,3.6426
august,2013,3.4150
september,2013,3.6200
october,2013,3.6582
november,2013,3.6576
december,2013,4.2840
january,2014,4.5431
february,2014,5.1810
march,2014,4.4842
april,2014,4.6033
may,2014,4.5322
june,2014,4.5971
july,2014,4.0408
august,2014,3.9042
september,2014,3.9263
october,2014,3.8082
november,2014,4.2330
december,2014,3.4960
january,2015,2.9414
february,2015,2.7610
march,2015,2.7490
april,2015,2.5890
may,2015,2.8600
june,2015,2.7704
july,2015,2.8091
august,2015,2.7547
september,2015,2.6390
october,2015,2.3872
november,2015,2.2809
december,2015,2.0481
january,2016,2.2310
february,2016,1.9314
march,2016,1.8113
april,2016,2.0133
may,2016,2.0877
june,2016,2.6231
july,2016,2.7685
august,2016,2.7217
september,2016,2.9000
october,2016,3.0714
november,2016,2.8800
december,2016,3.5852
january,2017,3.2995
february,2017,2.9055
march,2017,2.9926
april,2017,3.1910
may,2017,3.2369
june,2017,2.9950
july,2017,2.9580
august,2017,2.9039
september,2017,3.0080
october,2017,2.9150
november,2017,3.0518
december,2017,2.7719
january,2018,3.1609
february,2018,2.6640
march,2018,2.7052
april,2018,2.7266
may,2018,2.8352
june,2018,2.9461
july,2018,2.7922
august,2018,2.9091
september,2018,2.8915
october,2018,3.2143
november,2018,4.0918
december,2018,3.9240
january,2019,3.1122
february,2019,2.6873
march,2019,2.8028
april,2019,2.6014
may,2019,2.5913
june,2019,2.3325
july,2019,2.3004
august,2019,2.1731
september,2019,2.5100
october,2019,2.3400
november,2019,2.6280
december,2019,2.2923
january,2020,2.0274
february,2020,1.8558
march,2020,1.7585
april,2020,1.7997
may,2020,1.8392
june,2020,1.7147
july,2020,1.7773
august,2020,2.3762
september,2020,2.5243
october,2020,2.9103
november,2020,2.8976
december,2020,2.5878
january,2021,2.6414
february,2021,2.9100
march,2021,2.6315
april,2021,2.6974
may,2021,2.9786
june,2021,3.2811
july,2021,3.8048
august,2021,4.0411
september,2021,5.1078
october,2021,5.5984
november,2021,5.1512
december,2021,3.8459
january,2022,4.1340
february,2022,4.4782
march,2022,4.9772
april,2022,6.7753
may,2022,8.1694
june,2022,7.5709
july,2022,7.0963
august,2022,8.7705
september,2022,7.8527
october,2022,6.1939
november,2022,6.5922
december,2022,5.7334
january,2023,3.4429
february,2023,2.4691
march,2023,2.4463
april,2023,2.2274
may,2023,2.3395
june,2023,2.4959
july,2023,2.6531
august,2023,2.6613
september,2023,2.7372
october,2023,3.2283
november,2023,3.0690
