month,year,kraj,general_thefts,break_in_thefts,avg_monthly_salary
1,2009,HKK,271,174,19132.0
2,2009,HKK,245,164,19132.0
3,2009,HKK,284,207,19132.0
4,2009,HKK,271,162,19885.0
5,2009,HKK,268,191,19885.0
6,2009,HKK,279,213,19885.0
7,2009,HKK,269,162,20121.0
8,2009,HKK,323,188,20121.0
9,2009,HKK,250,195,20121.0
10,2009,HKK,246,217,22342.0
11,2009,HKK,277,210,22342.0
12,2009,HKK,230,216,22342.0
1,2009,JHC,275,181,19576.0
2,2009,JHC,253,183,19576.0
3,2009,JHC,309,206,19576.0
4,2009,JHC,343,204,20310.0
5,2009,JHC,369,236,20310.0
6,2009,JHC,374,214,20310.0
7,2009,JHC,380,227,20762.0
8,2009,JHC,388,209,20762.0
9,2009,JHC,376,220,20762.0
10,2009,JHC,364,211,23016.0
11,2009,JHC,376,243,23016.0
12,2009,JHC,273,197,23016.0
1,2009,JHM,909,286,21065.0
2,2009,JHM,876,323,21065.0
3,2009,JHM,905,396,21065.0
4,2009,JHM,986,389,21800.0
5,2009,JHM,998,411,21800.0
6,2009,JHM,1000,444,21800.0
7,2009,JHM,1041,405,22289.0
8,2009,JHM,1045,442,22289.0
9,2009,JHM,929,370,22289.0
10,2009,JHM,1080,331,24525.0
11,2009,JHM,1042,391,24525.0
12,2009,JHM,964,355,24525.0
1,2009,KVK,198,96,18652.0
2,2009,KVK,160,107,18652.0
3,2009,KVK,173,92,18652.0
4,2009,KVK,182,105,19646.0
5,2009,KVK,168,125,19646.0
6,2009,KVK,203,108,19646.0
7,2009,KVK,226,132,19794.0
8,2009,KVK,234,120,19794.0
9,2009,KVK,237,122,19794.0
10,2009,KVK,261,107,22310.0
11,2009,KVK,277,97,22310.0
12,2009,KVK,209,107,22310.0
1,2009,LBK,343,130,19653.0
2,2009,LBK,338,148,19653.0
3,2009,LBK,400,180,19653.0
4,2009,LBK,419,196,20484.0
5,2009,LBK,429,230,20484.0
6,2009,LBK,456,227,20484.0
7,2009,LBK,503,192,20928.0
8,2009,LBK,508,229,20928.0
9,2009,LBK,422,182,20928.0
10,2009,LBK,378,189,22815.0
11,2009,LBK,399,198,22815.0
12,2009,LBK,328,189,22815.0
1,2009,MSK,1440,572,20474.0
2,2009,MSK,1239,585,20474.0
3,2009,MSK,1459,684,20474.0
4,2009,MSK,1410,602,21278.0
5,2009,MSK,1626,641,21278.0
6,2009,MSK,1673,638,21278.0
7,2009,MSK,1589,574,21508.0
8,2009,MSK,1545,528,21508.0
9,2009,MSK,1495,551,21508.0
10,2009,MSK,1505,537,23807.0
11,2009,MSK,1441,556,23807.0
12,2009,MSK,1258,528,23807.0
1,2009,OLK,366,162,18731.0
2,2009,OLK,333,167,18731.0
3,2009,OLK,384,202,18731.0
4,2009,OLK,368,219,19920.0
5,2009,OLK,424,192,19920.0
6,2009,OLK,431,200,19920.0
7,2009,OLK,411,153,20359.0
8,2009,OLK,490,203,20359.0
9,2009,OLK,457,162,20359.0
10,2009,OLK,438,168,22401.0
11,2009,OLK,327,175,22401.0
12,2009,OLK,346,150,22401.0
1,2009,PAK,189,124,19123.0
2,2009,PAK,227,133,19123.0
3,2009,PAK,235,158,19123.0
4,2009,PAK,219,170,19828.0
5,2009,PAK,241,159,19828.0
6,2009,PAK,248,162,19828.0
7,2009,PAK,299,156,20428.0
8,2009,PAK,283,167,20428.0
9,2009,PAK,265,161,20428.0
10,2009,PAK,279,132,22923.0
11,2009,PAK,194,116,22923.0
12,2009,PAK,206,138,22923.0
1,2009,PHA,4237,775,30450.0
2,2009,PHA,3676,739,30450.0
3,2009,PHA,4599,867,30450.0
4,2009,PHA,4276,859,30430.0
5,2009,PHA,4372,905,30430.0
6,2009,PHA,4470,905,30430.0
7,2009,PHA,4277,936,30605.0
8,2009,PHA,4277,939,30605.0
9,2009,PHA,4483,896,30605.0
10,2009,PHA,4476,839,33568.0
11,2009,PHA,3896,924,33568.0
12,2009,PHA,3507,880,33568.0
1,2009,PLK,469,231,21993.0
2,2009,PLK,393,158,21993.0
3,2009,PLK,482,224,21993.0
4,2009,PLK,436,217,21959.0
5,2009,PLK,419,238,21959.0
6,2009,PLK,395,239,21959.0
7,2009,PLK,449,209,22201.0
8,2009,PLK,420,221,22201.0
9,2009,PLK,435,259,22201.0
10,2009,PLK,500,249,24379.0
11,2009,PLK,494,223,24379.0
12,2009,PLK,379,233,24379.0
1,2009,STC,1140,716,21405.0
2,2009,STC,1091,732,21405.0
3,2009,STC,1395,926,21405.0
4,2009,STC,1177,847,22621.0
5,2009,STC,1309,840,22621.0
6,2009,STC,1276,755,22621.0
7,2009,STC,1289,645,22450.0
8,2009,STC,1437,616,22450.0
9,2009,STC,1291,730,22450.0
10,2009,STC,1315,780,24302.0
11,2009,STC,1374,708,24302.0
12,2009,STC,1073,749,24302.0
1,2009,ULK,816,372,20070.0
2,2009,ULK,866,364,20070.0
3,2009,ULK,825,436,20070.0
4,2009,ULK,866,433,20743.0
5,2009,ULK,980,480,20743.0
6,2009,ULK,925,395,20743.0
7,2009,ULK,847,433,21055.0
8,2009,ULK,906,421,21055.0
9,2009,ULK,856,418,21055.0
10,2009,ULK,777,455,23466.0
11,2009,ULK,815,467,23466.0
12,2009,ULK,682,413,23466.0
1,2009,VYS,168,169,19216.0
2,2009,VYS,147,153,19216.0
3,2009,VYS,211,171,19216.0
4,2009,VYS,221,166,20131.0
5,2009,VYS,238,145,20131.0
6,2009,VYS,260,139,20131.0
7,2009,VYS,267,134,20807.0
8,2009,VYS,283,150,20807.0
9,2009,VYS,197,218,20807.0
10,2009,VYS,250,165,22465.0
11,2009,VYS,213,168,22465.0
12,2009,VYS,131,193,22465.0
1,2009,ZLK,156,142,17704.0
2,2009,ZLK,209,145,17704.0
3,2009,ZLK,228,145,17704.0
4,2009,ZLK,238,134,18703.0
5,2009,ZLK,245,138,18703.0
6,2009,ZLK,256,127,18703.0
7,2009,ZLK,322,125,18977.0
8,2009,ZLK,254,149,18977.0
9,2009,ZLK,242,143,18977.0
10,2009,ZLK,226,126,20848.0
11,2009,ZLK,210,153,20848.0
12,2009,ZLK,193,148,20848.0
1,2010,HKK,1129,604,20555.0
2,2010,HKK,1141,547,20555.0
3,2010,HKK,1367,662,20555.0
4,2010,HKK,1371,690,21552.0
5,2010,HKK,1437,718,21552.0
6,2010,HKK,1423,625,21552.0
7,2010,HKK,1526,597,21468.0
8,2010,HKK,1547,609,21468.0
9,2010,HKK,1520,596,21468.0
10,2010,HKK,1483,658,23593.0
11,2010,HKK,1427,690,23593.0
12,2010,HKK,1096,582,23593.0
1,2010,JHC,298,184,20271.0
2,2010,JHC,296,176,20271.0
3,2010,JHC,364,295,20271.0
4,2010,JHC,368,301,21008.0
5,2010,JHC,470,274,21008.0
6,2010,JHC,454,293,21008.0
7,2010,JHC,464,256,21251.0
8,2010,JHC,461,274,21251.0
9,2010,JHC,377,284,21251.0
10,2010,JHC,487,298,23315.0
11,2010,JHC,361,237,23315.0
12,2010,JHC,319,223,23315.0
1,2010,JHM,147,145,21831.0
2,2010,JHM,173,157,21831.0
3,2010,JHM,199,209,21831.0
4,2010,JHM,227,221,22609.0
5,2010,JHM,248,210,22609.0
6,2010,JHM,223,199,22609.0
7,2010,JHM,237,149,22665.0
8,2010,JHM,243,207,22665.0
9,2010,JHM,237,119,22665.0
10,2010,JHM,218,179,24684.0
11,2010,JHM,202,154,24684.0
12,2010,JHM,112,114,24684.0
1,2010,KVK,709,449,19371.0
2,2010,KVK,734,473,19371.0
3,2010,KVK,899,573,19371.0
4,2010,KVK,805,553,20333.0
5,2010,KVK,877,610,20333.0
6,2010,KVK,917,542,20333.0
7,2010,KVK,904,559,20336.0
8,2010,KVK,961,611,20336.0
9,2010,KVK,862,559,20336.0
10,2010,KVK,954,546,22205.0
11,2010,KVK,858,526,22205.0
12,2010,KVK,674,407,22205.0
1,2010,LBK,989,332,20576.0
2,2010,LBK,885,369,20576.0
3,2010,LBK,1096,437,20576.0
4,2010,LBK,956,456,21389.0
5,2010,LBK,956,442,21389.0
6,2010,LBK,944,419,21389.0
7,2010,LBK,912,354,21561.0
8,2010,LBK,1005,374,21561.0
9,2010,LBK,1018,393,21561.0
10,2010,LBK,982,384,23447.0
11,2010,LBK,1041,405,23447.0
12,2010,LBK,891,367,23447.0
1,2010,MSK,96,44,21128.0
2,2010,MSK,547,388,21128.0
3,2010,MSK,332,266,21128.0
4,2010,MSK,401,215,21959.0
5,2010,MSK,411,259,21959.0
6,2010,MSK,425,228,21959.0
7,2010,MSK,422,202,22012.0
8,2010,MSK,421,265,22012.0
9,2010,MSK,375,208,22012.0
10,2010,MSK,358,263,24282.0
11,2010,MSK,351,231,24282.0
12,2010,MSK,255,188,24282.0
1,2010,OLK,238,139,19767.0
2,2010,OLK,170,153,19767.0
3,2010,OLK,211,220,19767.0
4,2010,OLK,231,158,20940.0
5,2010,OLK,245,151,20940.0
6,2010,OLK,277,145,20940.0
7,2010,OLK,322,128,20883.0
8,2010,OLK,296,164,20883.0
9,2010,OLK,275,138,20883.0
10,2010,OLK,256,117,22768.0
11,2010,OLK,191,125,22768.0
12,2010,OLK,148,101,22768.0
1,2010,PAK,251,177,19890.0
2,2010,PAK,326,179,19890.0
3,2010,PAK,373,232,19890.0
4,2010,PAK,373,208,20743.0
5,2010,PAK,348,221,20743.0
6,2010,PAK,351,206,20743.0
7,2010,PAK,372,187,20957.0
8,2010,PAK,405,206,20957.0
9,2010,PAK,441,227,20957.0
10,2010,PAK,390,256,22756.0
11,2010,PAK,406,245,22756.0
12,2010,PAK,249,205,22756.0
1,2010,PHA,3134,808,30430.0
2,2010,PHA,3439,798,30430.0
3,2010,PHA,3975,926,30430.0
4,2010,PHA,3735,1107,30660.0
5,2010,PHA,3730,931,30660.0
6,2010,PHA,3457,926,30660.0
7,2010,PHA,3341,924,30689.0
8,2010,PHA,3618,933,30689.0
9,2010,PHA,3625,816,30689.0
10,2010,PHA,3610,927,33028.0
11,2010,PHA,3442,907,33028.0
12,2010,PHA,2945,756,33028.0
1,2010,PLK,311,260,21564.0
2,2010,PLK,388,224,21564.0
3,2010,PLK,475,245,21564.0
