month,year,kraj,general_thefts,break_in_thefts
1,2009,HKK,271,174
2,2009,HKK,245,164
3,2009,HKK,284,207
4,2009,HKK,271,162
5,2009,HKK,268,191
6,2009,HKK,279,213
7,2009,HKK,269,162
8,2009,HKK,323,188
9,2009,HKK,250,195
10,2009,HKK,246,217
11,2009,HKK,277,210
12,2009,HKK,230,216
1,2009,JHC,275,181
2,2009,JHC,253,183
3,2009,JHC,309,206
4,2009,JHC,343,204
5,2009,JHC,369,236
6,2009,JHC,374,214
7,2009,JHC,380,227
8,2009,JHC,388,209
9,2009,JHC,376,220
10,2009,JHC,364,211
11,2009,JHC,376,243
12,2009,JHC,273,197
1,2009,JHM,909,286
2,2009,JHM,876,323
3,2009,JHM,905,396
4,2009,JHM,986,389
5,2009,JHM,998,411
6,2009,JHM,1000,444
7,2009,JHM,1041,405
8,2009,JHM,1045,442
9,2009,JHM,929,370
10,2009,JHM,1080,331
11,2009,JHM,1042,391
12,2009,JHM,964,355
1,2009,KVK,198,96
2,2009,KVK,160,107
3,2009,KVK,173,92
4,2009,KVK,182,105
5,2009,KVK,168,125
6,2009,KVK,203,108
7,2009,KVK,226,132
8,2009,KVK,234,120
9,2009,KVK,237,122
10,2009,KVK,261,107
11,2009,KVK,277,97
12,2009,KVK,209,107
1,2009,LBK,343,130
2,2009,LBK,338,148
3,2009,LBK,400,180
4,2009,LBK,419,196
5,2009,LBK,429,230
6,2009,LBK,456,227
7,2009,LBK,503,192
8,2009,LBK,508,229
9,2009,LBK,422,182
10,2009,LBK,378,189
11,2009,LBK,399,198
12,2009,LBK,328,189
1,2009,MSK,1440,572
2,2009,MSK,1239,585
3,2009,MSK,1459,684
4,2009,MSK,1410,602
5,2009,MSK,1626,641
6,2009,MSK,1673,638
7,2009,MSK,1589,574
8,2009,MSK,1545,528
9,2009,MSK,1495,551
10,2009,MSK,1505,537
11,2009,MSK,1441,556
12,2009,MSK,1258,528
1,2009,OLK,366,162
2,2009,OLK,333,167
3,2009,OLK,384,202
4,2009,OLK,368,219
5,2009,OLK,424,192
6,2009,OLK,431,200
7,2009,OLK,411,153
8,2009,OLK,490,203
9,2009,OLK,457,162
10,2009,OLK,438,168
11,2009,OLK,327,175
12,2009,OLK,346,150
1,2009,PAK,189,124
2,2009,PAK,227,133
3,2009,PAK,235,158
4,2009,PAK,219,170
5,2009,PAK,241,159
6,2009,PAK,248,162
7,2009,PAK,299,156
8,2009,PAK,283,167
9,2009,PAK,265,161
10,2009,PAK,279,132
11,2009,PAK,194,116
12,2009,PAK,206,138
1,2009,PHA,4237,775
2,2009,PHA,3676,739
3,2009,PHA,4599,867
4,2009,PHA,4276,859
5,2009,PHA,4372,905
6,2009,PHA,4470,905
7,2009,PHA,4277,936
8,2009,PHA,4277,939
9,2009,PHA,4483,896
10,2009,PHA,4476,839
11,2009,PHA,3896,924
12,2009,PHA,3507,880
1,2009,PLK,469,231
2,2009,PLK,393,158
3,2009,PLK,482,224
4,2009,PLK,436,217
5,2009,PLK,419,238
6,2009,PLK,395,239
7,2009,PLK,449,209
8,2009,PLK,420,221
9,2009,PLK,435,259
10,2009,PLK,500,249
11,2009,PLK,494,223
12,2009,PLK,379,233
1,2009,STC,1140,716
2,2009,STC,1091,732
3,2009,STC,1395,926
4,2009,STC,1177,847
5,2009,STC,1309,840
6,2009,STC,1276,755
7,2009,STC,1289,645
8,2009,STC,1437,616
9,2009,STC,1291,730
10,2009,STC,1315,780
11,2009,STC,1374,708
12,2009,STC,1073,749
1,2009,ULK,816,372
2,2009,ULK,866,364
3,2009,ULK,825,436
4,2009,ULK,866,433
5,2009,ULK,980,480
6,2009,ULK,925,395
7,2009,ULK,847,433
8,2009,ULK,906,421
9,2009,ULK,856,418
10,2009,ULK,777,455
11,2009,ULK,815,467
12,2009,ULK,682,413
1,2009,VYS,168,169
2,2009,VYS,147,153
3,2009,VYS,211,171
4,2009,VYS,221,166
5,2009,VYS,238,145
6,2009,VYS,260,139
7,2009,VYS,267,134
8,2009,VYS,283,150
9,2009,VYS,197,218
10,2009,VYS,250,165
11,2009,VYS,213,168
12,2009,VYS,131,193
1,2009,ZLK,156,142
2,2009,ZLK,209,145
3,2009,ZLK,228,145
4,2009,ZLK,238,134
5,2009,ZLK,245,138
6,2009,ZLK,256,127
7,2009,ZLK,322,125
8,2009,ZLK,254,149
9,2009,ZLK,242,143
10,2009,ZLK,226,126
11,2009,ZLK,210,153
12,2009,ZLK,193,148
1,2010,HKK,1129,604
2,2010,HKK,1141,547
3,2010,HKK,1367,662
4,2010,HKK,1371,690
5,2010,HKK,1437,718
6,2010,HKK,1423,625
7,2010,HKK,1526,597
8,2010,HKK,1547,609
9,2010,HKK,1520,596
10,2010,HKK,1483,658
11,2010,HKK,1427,690
12,2010,HKK,1096,582
1,2010,JHC,298,184
2,2010,JHC,296,176
3,2010,JHC,364,295
4,2010,JHC,368,301
5,2010,JHC,470,274
6,2010,JHC,454,293
7,2010,JHC,464,256
8,2010,JHC,461,274
9,2010,JHC,377,284
10,2010,JHC,487,298
11,2010,JHC,361,237
12,2010,JHC,319,223
1,2010,JHM,147,145
2,2010,JHM,173,157
3,2010,JHM,199,209
4,2010,JHM,227,221
5,2010,JHM,248,210
6,2010,JHM,223,199
7,2010,JHM,237,149
8,2010,JHM,243,207
