month,year,kraj,avg_monthly_salary
1,2000,HKK,10963
2,2000,HKK,10963
3,2000,HKK,10963
4,2000,HKK,12169
5,2000,HKK,12169
6,2000,HKK,12169
7,2000,HKK,12024
8,2000,HKK,12024
9,2000,HKK,12024
10,2000,HKK,13511
11,2000,HKK,13511
12,2000,HKK,13511
1,2000,JHC,11058
2,2000,JHC,11058
3,2000,JHC,11058
4,2000,JHC,12302
5,2000,JHC,12302
6,2000,JHC,12302
7,2000,JHC,12100
8,2000,JHC,12100
9,2000,JHC,12100
10,2000,JHC,13698
11,2000,JHC,13698
12,2000,JHC,13698
1,2000,JHM,11205
2,2000,JHM,11205
3,2000,JHM,11205
4,2000,JHM,12331
5,2000,JHM,12331
6,2000,JHM,12331
7,2000,JHM,12172
8,2000,JHM,12172
9,2000,JHM,12172
10,2000,JHM,13765
11,2000,JHM,13765
12,2000,JHM,13765
1,2000,KVK,10710
2,2000,KVK,10710
3,2000,KVK,10710
4,2000,KVK,11827
5,2000,KVK,11827
6,2000,KVK,11827
7,2000,KVK,11644
8,2000,KVK,11644
9,2000,KVK,11644
10,2000,KVK,13248
11,2000,KVK,13248
12,2000,KVK,13248
1,2000,LBK,11084
2,2000,LBK,11084
3,2000,LBK,11084
4,2000,LBK,12211
5,2000,LBK,12211
6,2000,LBK,12211
7,2000,LBK,12011
8,2000,LBK,12011
9,2000,LBK,12011
10,2000,LBK,13399
11,2000,LBK,13399
12,2000,LBK,13399
1,2000,MSK,11387
2,2000,MSK,11387
3,2000,MSK,11387
4,2000,MSK,12637
5,2000,MSK,12637
6,2000,MSK,12637
7,2000,MSK,12468
8,2000,MSK,12468
9,2000,MSK,12468
10,2000,MSK,14132
11,2000,MSK,14132
12,2000,MSK,14132
1,2000,OLK,10619
2,2000,OLK,10619
3,2000,OLK,10619
4,2000,OLK,11692
5,2000,OLK,11692
6,2000,OLK,11692
7,2000,OLK,11614
8,2000,OLK,11614
9,2000,OLK,11614
10,2000,OLK,13027
11,2000,OLK,13027
12,2000,OLK,13027
1,2000,PAK,10780
2,2000,PAK,10780
3,2000,PAK,10780
4,2000,PAK,11868
5,2000,PAK,11868
6,2000,PAK,11868
7,2000,PAK,11711
8,2000,PAK,11711
9,2000,PAK,11711
10,2000,PAK,13095
11,2000,PAK,13095
12,2000,PAK,13095
1,2000,PHA,15700
2,2000,PHA,15700
3,2000,PHA,15700
4,2000,PHA,17457
5,2000,PHA,17457
6,2000,PHA,17457
7,2000,PHA,16891
8,2000,PHA,16891
9,2000,PHA,16891
10,2000,PHA,19602
11,2000,PHA,19602
12,2000,PHA,19602
1,2000,PLK,11421
2,2000,PLK,11421
3,2000,PLK,11421
4,2000,PLK,12570
5,2000,PLK,12570
6,2000,PLK,12570
7,2000,PLK,12399
8,2000,PLK,12399
9,2000,PLK,12399
10,2000,PLK,14025
11,2000,PLK,14025
12,2000,PLK,14025
1,2000,STC,11740
2,2000,STC,11740
3,2000,STC,11740
4,2000,STC,12982
5,2000,STC,12982
6,2000,STC,12982
7,2000,STC,12640
8,2000,STC,12640
9,2000,STC,12640
10,2000,STC,14249
11,2000,STC,14249
12,2000,STC,14249
1,2000,ULK,11211
2,2000,ULK,11211
3,2000,ULK,11211
4,2000,ULK,12445
5,2000,ULK,12445
6,2000,ULK,12445
7,2000,ULK,12173
8,2000,ULK,12173
9,2000,ULK,12173
10,2000,ULK,13717
11,2000,ULK,13717
12,2000,ULK,13717
1,2000,VYS,10429
2,2000,VYS,10429
3,2000,VYS,10429
4,2000,VYS,11688
5,2000,VYS,11688
6,2000,VYS,11688
7,2000,VYS,11540
8,2000,VYS,11540
9,2000,VYS,11540
10,2000,VYS,12930
11,2000,VYS,12930
12,2000,VYS,12930
1,2000,ZLK,10746
2,2000,ZLK,10746
3,2000,ZLK,10746
4,2000,ZLK,11929
5,2000,ZLK,11929
