month,year,kraj,bilance
1,2008,PHA,2.502
1,2008,STC,2.502
1,2008,JHM,2.502
1,2008,PLK,2.502
1,2008,HKK,2.502
1,2008,VYS,2.502
1,2008,KVK,2.502
1,2008,LBK,2.502
1,2008,PAK,2.502
1,2008,MSK,2.502
1,2008,OLK,2.502
1,2008,ULK,2.502
1,2008,ZLK,2.502
1,2008,JHC,2.502
2,2008,PHA,1.137
2,2008,STC,1.137
2,2008,JHM,1.137
2,2008,PLK,1.137
2,2008,HKK,1.137
2,2008,VYS,1.137
2,2008,KVK,1.137
2,2008,LBK,1.137
2,2008,PAK,1.137
2,2008,MSK,1.137
2,2008,OLK,1.137
2,2008,ULK,1.137
2,2008,ZLK,1.137
2,2008,JHC,1.137
3,2008,PHA,-4.411
3,2008,STC,-4.411
3,2008,JHM,-4.411
3,2008,PLK,-4.411
3,2008,HKK,-4.411
3,2008,VYS,-4.411
3,2008,KVK,-4.411
3,2008,LBK,-4.411
3,2008,PAK,-4.411
3,2008,MSK,-4.411
3,2008,OLK,-4.411
3,2008,ULK,-4.411
3,2008,ZLK,-4.411
3,2008,JHC,-4.411
4,2008,PHA,-2.198
4,2008,STC,-2.198
4,2008,JHM,-2.198
4,2008,PLK,-2.198
4,2008,HKK,-2.198
4,2008,VYS,-2.198
4,2008,KVK,-2.198
4,2008,LBK,-2.198
4,2008,PAK,-2.198
4,2008,MSK,-2.198
4,2008,OLK,-2.198
4,2008,ULK,-2.198
4,2008,ZLK,-2.198
4,2008,JHC,-2.198
5,2008,PHA,707.0
5,2008,STC,707.0
5,2008,JHM,707.0
5,2008,PLK,707.0
5,2008,HKK,707.0
5,2008,VYS,707.0
5,2008,KVK,707.0
5,2008,LBK,707.0
5,2008,PAK,707.0
5,2008,MSK,707.0
5,2008,OLK,707.0
5,2008,ULK,707.0
5,2008,ZLK,707.0
5,2008,JHC,707.0
6,2008,PHA,2.327
6,2008,STC,2.327
6,2008,JHM,2.327
6,2008,PLK,2.327
6,2008,HKK,2.327
6,2008,VYS,2.327
6,2008,KVK,2.327
6,2008,LBK,2.327
6,2008,PAK,2.327
6,2008,MSK,2.327
6,2008,OLK,2.327
6,2008,ULK,2.327
