month,year,kraj,uchazeciOZamestnaniUoZ,uchazeciOZamestnaniUoZZeny,uchazeciOZamestnaniUoZMuzi,noveHlaseniUchazeci,noveHlasenaAUvolnenaVPM,obsazenaAZrusenaVPM,absolventiSkolAMladistvi,uchazeciOZamestnaniUoZMuzi_ratio,uchazeciOZamestnaniUoZZeny_ratio
1,2008,HKK,14818,7664,7154,3092,2300,1551,943,0.48279119989202324,0.5172088001079768
1,2008,JHC,17437,9228,8209,4104,2327,2380,1163,0.47078052417273614,0.5292194758272639
1,2008,JHM,45304,24032,21272,7135,4911,3475,2816,0.4695391135440579,0.530460886455942
1,2008,KVK,13625,6645,6980,2410,1177,537,763,0.5122935779816514,0.48770642201834863
1,2008,LBK,14895,8116,6779,2813,1536,1515,935,0.45511916750587444,0.5448808324941256
1,2008,MSK,66043,34068,31975,8429,4658,3426,3578,0.4841542631315961,0.515845736868404
1,2008,OLK,24769,13054,11715,4732,2477,2502,1453,0.472970245064395,0.527029754935605
1,2008,PAK,16195,8364,7831,3296,4043,3578,1100,0.4835443037974684,0.5164556962025316
1,2008,PHA,17818,9286,8532,4297,7685,8186,890,0.47884162083286563,0.5211583791671344
1,2008,PLK,15091,8036,7055,3271,3673,3353,878,0.46749718375190513,0.5325028162480949
1,2008,STC,30252,16548,13704,6259,5923,5346,1953,0.45299484331614437,0.5470051566838556
1,2008,ULK,50452,26822,23630,6647,2491,2460,2885,0.46836597161658605,0.5316340283834139
1,2008,VYS,17106,8888,8218,3286,2499,2717,1262,0.480416228224015,0.519583771775985
1,2008,ZLK,20739,11260,9479,3383,1688,1507,1340,0.45706157481074305,0.542938425189257
2,2008,HKK,14250,7436,6814,1873,1659,2016,964,0.47817543859649125,0.5218245614035087
2,2008,JHC,16935,9000,7935,2424,2190,2109,1168,0.4685562444641275,0.5314437555358724
2,2008,JHM,44034,23464,20570,4634,4802,3280,2753,0.4671390289321888,0.5328609710678113
2,2008,KVK,13336,6539,6797,1476,1033,1031,743,0.5096730653869226,0.49032693461307736
2,2008,LBK,14645,7989,6656,2053,1612,1667,950,0.45448958688972346,0.5455104131102766
2,2008,MSK,64367,33395,30972,5793,3385,3287,3554,0.4811782435098731,0.518821756490127
2,2008,OLK,24119,12655,11464,2569,2022,1863,1421,0.47530992163854224,0.5246900783614578
2,2008,PAK,15620,8128,7492,1760,2409,1487,1036,0.4796414852752881,0.520358514724712
2,2008,PHA,17510,9091,8419,3166,7833,7009,886,0.4808109651627641,0.5191890348372359
2,2008,PLK,14645,7810,6835,2037,4666,4335,852,0.46671218846022533,0.5332878115397747
2,2008,STC,29489,16140,13349,4131,5420,4401,1897,0.45267726949031845,0.5473227305096816
2,2008,ULK,49235,26272,22963,4166,2300,2238,2820,0.4663958566060729,0.533604143393927
2,2008,VYS,16567,8659,7908,1768,1680,1691,1214,0.47733446007122593,0.5226655399287741
2,2008,ZLK,20281,10990,9291,2152,1450,1640,1308,0.45811350525122035,0.5418864947487797
3,2008,HKK,13450,7085,6365,1851,1845,1506,881,0.4732342007434944,0.5267657992565056
3,2008,JHC,15645,8595,7050,2300,2124,1543,1106,0.4506232023010546,0.5493767976989453
3,2008,JHM,41670,22480,19190,4425,4166,5300,2560,0.46052315814734823,0.5394768418526518
3,2008,KVK,12524,6144,6380,1334,1039,1116,721,0.5094219099329288,0.4905780900670712
3,2008,LBK,14243,7824,6419,1856,1689,1653,911,0.4506775258021484,0.5493224741978516
3,2008,MSK,61270,32196,29074,5321,3763,3175,3502,0.47452260486371795,0.525477395136282
3,2008,OLK,22523,12089,10434,2484,2141,2061,1362,0.4632597788926875,0.5367402211073126
3,2008,PAK,14463,7705,6758,1721,1863,3193,976,0.4672612874230796,0.5327387125769204
3,2008,PHA,17113,8791,8322,3032,7914,4542,839,0.4862969672179045,0.5137030327820955
3,2008,PLK,13743,7510,6233,2016,2003,2798,833,0.4535399839918504,0.5464600160081496
3,2008,STC,27729,15348,12381,3859,4358,5149,1778,0.44650005409499083,0.5534999459050092
3,2008,ULK,47254,25375,21879,4087,1801,2097,2672,0.4630084225674017,0.5369915774325983
3,2008,VYS,15428,8297,7131,1718,1528,1582,1126,0.4622115633912367,0.5377884366087633
3,2008,ZLK,19242,10588,8654,2027,1472,1008,1225,0.44974534871634964,0.5502546512836504
4,2008,HKK,12508,6814,5694,2211,2057,1659,822,0.45522865366165655,0.5447713463383435
4,2008,JHC,14235,8026,6209,2487,2058,2086,1007,0.43617843343870744,0.5638215665612926
4,2008,JHM,38927,21574,17353,4821,4223,3183,2361,0.4457831325301205,0.5542168674698795
4,2008,KVK,11863,5914,5949,1470,830,1016,660,0.5014751749135969,0.4985248250864031
4,2008,LBK,13952,7747,6205,2264,1605,1735,927,0.4447391055045872,0.5552608944954128
4,2008,MSK,57923,30996,26927,5858,3880,3178,3269,0.4648757833675742,0.5351242166324258
4,2008,OLK,20959,11629,9330,2883,2233,2128,1295,0.44515482608903095,0.554845173910969
4,2008,PAK,13301,7378,5923,1896,3113,2959,836,0.4453048642959176,0.5546951357040824
4,2008,PHA,16538,8557,7981,3340,8054,7971,828,0.48258556052727053,0.5174144394727295
4,2008,PLK,12998,7319,5679,2139,3589,3462,814,0.43691337128789043,0.5630866287121096
4,2008,STC,26050,14661,11389,4342,7569,8751,1635,0.4371976967370442,0.5628023032629559
4,2008,ULK,44859,24385,20474,4647,2170,2383,2506,0.45640785572571835,0.5435921442742816
4,2008,VYS,14002,7893,6109,1904,1316,1447,1038,0.4362948150264248,0.5637051849735752
4,2008,ZLK,18003,10156,7847,2253,2044,1827,1146,0.435871799144587,0.5641282008554129
5,2008,HKK,11834,6591,5243,1882,1687,1617,717,0.44304546222748015,0.5569545377725199
5,2008,JHC,13256,7581,5675,2010,1990,2039,840,0.42810802655401325,0.5718919734459867
5,2008,JHM,37092,20770,16322,4205,4353,3537,2037,0.44004097918688667,0.5599590208131133
5,2008,KVK,11471,5797,5674,1340,839,945,616,0.494638653997036,0.505361346002964
5,2008,LBK,13606,7634,5972,1981,1387,1269,847,0.43892400411583127,0.5610759958841688
5,2008,MSK,55575,30009,25566,4963,2852,3370,2803,0.46002699055330637,0.5399730094466937
5,2008,OLK,19768,11170,8598,2314,2048,2109,1114,0.4349453662484824,0.5650546337515177
5,2008,PAK,12752,7226,5526,1700,1775,1563,746,0.43334378920953576,0.5666562107904642
5,2008,PHA,15974,8319,7655,2676,7406,9488,721,0.4792162263678478,0.5207837736321522
