kraj,month,year,bilance
PHA,1,2005,8.448
STC,1,2005,8.448
JHM,1,2005,8.448
PLK,1,2005,8.448
HKK,1,2005,8.448
VYS,1,2005,8.448
KVK,1,2005,8.448
LBK,1,2005,8.448
PAK,1,2005,8.448
MSK,1,2005,8.448
OLK,1,2005,8.448
ULK,1,2005,8.448
ZLK,1,2005,8.448
JHC,1,2005,8.448
PHA,2,2005,4.351
STC,2,2005,4.351
JHM,2,2005,4.351
PLK,2,2005,4.351
HKK,2,2005,4.351
VYS,2,2005,4.351
KVK,2,2005,4.351
LBK,2,2005,4.351
PAK,2,2005,4.351
MSK,2,2005,4.351
OLK,2,2005,4.351
ULK,2,2005,4.351
ZLK,2,2005,4.351
JHC,2,2005,4.351
PHA,3,2005,4.347
STC,3,2005,4.347
JHM,3,2005,4.347
PLK,3,2005,4.347
HKK,3,2005,4.347
VYS,3,2005,4.347
KVK,3,2005,4.347
LBK,3,2005,4.347
PAK,3,2005,4.347
MSK,3,2005,4.347
OLK,3,2005,4.347
ULK,3,2005,4.347
ZLK,3,2005,4.347
JHC,3,2005,4.347
PHA,4,2005,-4.312
STC,4,2005,-4.312
JHM,4,2005,-4.312
PLK,4,2005,-4.312
HKK,4,2005,-4.312
VYS,4,2005,-4.312
KVK,4,2005,-4.312
LBK,4,2005,-4.312
PAK,4,2005,-4.312
MSK,4,2005,-4.312
OLK,4,2005,-4.312
ULK,4,2005,-4.312
ZLK,4,2005,-4.312
JHC,4,2005,-4.312
PHA,5,2005,3.505
STC,5,2005,3.505
JHM,5,2005,3.505
PLK,5,2005,3.505
HKK,5,2005,3.505
VYS,5,2005,3.505
KVK,5,2005,3.505
LBK,5,2005,3.505
PAK,5,2005,3.505
MSK,5,2005,3.505
OLK,5,2005,3.505
ULK,5,2005,3.505
ZLK,5,2005,3.505
JHC,5,2005,3.505
PHA,6,2005,5.640
STC,6,2005,5.640
JHM,6,2005,5.640
PLK,6,2005,5.640
HKK,6,2005,5.640
VYS,6,2005,5.640
KVK,6,2005,5.640
LBK,6,2005,5.640
PAK,6,2005,5.640
MSK,6,2005,5.640
OLK,6,2005,5.640
ULK,6,2005,5.640
ZLK,6,2005,5.640
JHC,6,2005,5.640
PHA,7,2005,-3.011
STC,7,2005,-3.011
JHM,7,2005,-3.011
PLK,7,2005,-3.011
HKK,7,2005,-3.011
VYS,7,2005,-3.011
KVK,7,2005,-3.011
LBK,7,2005,-3.011
PAK,7,2005,-3.011
MSK,7,2005,-3.011
OLK,7,2005,-3.011
ULK,7,2005,-3.011
ZLK,7,2005,-3.011
JHC,7,2005,-3.011
PHA,8,2005,-5.932
