month,year,kraj,celkem,m_do_65,z_do_65,monthly_min_wage,monthly_inflation_rate_wrt_last_year,reer
march,2022,PHA,59949,6747,26848,16200,12.7,107.78
march,2022,JHM,23965,3079,10195,16200,12.7,107.78
march,2022,JHC,12279,1492,5285,16200,12.7,107.78
march,2022,KVK,9625,1125,4212,16200,12.7,107.78
march,2022,VYS,8257,1092,3268,16200,12.7,107.78
march,2022,HKK,10822,1253,4532,16200,12.7,107.78
march,2022,LBK,10262,947,4475,16200,12.7,107.78
march,2022,MSK,12717,1273,5508,16200,12.7,107.78
march,2022,OLK,7278,762,3140,16200,12.7,107.78
march,2022,PAK,10089,1249,4256,16200,12.7,107.78
march,2022,PLK,17734,2322,8178,16200,12.7,107.78
march,2022,STC,35837,3742,15131,16200,12.7,107.78
march,2022,ZLK,7080,929,2985,16200,12.7,107.78
march,2022,ULK,12611,1360,5356,16200,12.7,107.78
april,2022,PHA,14164,4129,6098,16200,14.2,109.83
april,2022,JHM,6969,1929,3033,16200,14.2,109.83
april,2022,JHC,3823,1095,1616,16200,14.2,109.83
april,2022,KVK,2458,499,1104,16200,14.2,109.83
april,2022,VYS,2824,978,1092,16200,14.2,109.83
april,2022,HKK,3635,951,1510,16200,14.2,109.83
april,2022,LBK,2887,753,1236,16200,14.2,109.83
april,2022,MSK,5146,949,2140,16200,14.2,109.83
april,2022,OLK,2539,680,1051,16200,14.2,109.83
april,2022,PAK,3475,1108,1449,16200,14.2,109.83
april,2022,PLK,5882,2048,2579,16200,14.2,109.83
april,2022,STC,10862,2876,4438,16200,14.2,109.83
april,2022,ZLK,2480,688,1063,16200,14.2,109.83
april,2022,ULK,4135,1052,1690,16200,14.2,109.83
may,2022,PHA,9432,2805,4411,16200,16.0,109.83
may,2022,JHM,4098,1147,1926,16200,16.0,109.83
may,2022,JHC,1809,611,846,16200,16.0,109.83
may,2022,KVK,1093,277,481,16200,16.0,109.83
may,2022,VYS,1596,548,693,16200,16.0,109.83
may,2022,HKK,1645,534,753,16200,16.0,109.83
may,2022,LBK,1400,406,688,16200,16.0,109.83
may,2022,MSK,2974,573,1161,16200,16.0,109.83
may,2022,OLK,1206,382,557,16200,16.0,109.83
may,2022,PAK,2063,668,932,16200,16.0,109.83
may,2022,PLK,2844,892,1454,16200,16.0,109.83
may,2022,STC,5913,1645,2565,16200,16.0,109.83
may,2022,ZLK,1027,316,492,16200,16.0,109.83
may,2022,ULK,1987,540,890,16200,16.0,109.83
june,2022,PHA,5422,1352,2703,16200,17.2,109.83
june,2022,JHM,2584,545,1393,16200,17.2,109.83
june,2022,JHC,924,251,445,16200,17.2,109.83
june,2022,KVK,645,164,346,16200,17.2,109.83
june,2022,VYS,891,211,443,16200,17.2,109.83
june,2022,HKK,1193,277,581,16200,17.2,109.83
june,2022,LBK,811,233,386,16200,17.2,109.83
june,2022,MSK,1184,269,505,16200,17.2,109.83
june,2022,OLK,707,182,336,16200,17.2,109.83
june,2022,PAK,1076,277,513,16200,17.2,109.83
june,2022,PLK,1831,448,997,16200,17.2,109.83
june,2022,STC,2585,637,1224,16200,17.2,109.83
june,2022,ZLK,561,170,292,16200,17.2,109.83
june,2022,ULK,1103,291,519,16200,17.2,109.83
july,2022,PHA,2893,966,1350,16200,17.5,110.11
july,2022,JHM,1941,452,973,16200,17.5,110.11
july,2022,JHC,830,205,439,16200,17.5,110.11
july,2022,KVK,698,144,327,16200,17.5,110.11
july,2022,VYS,544,173,231,16200,17.5,110.11
july,2022,HKK,749,212,324,16200,17.5,110.11
july,2022,LBK,491,179,240,16200,17.5,110.11
july,2022,MSK,856,268,370,16200,17.5,110.11
july,2022,OLK,632,150,270,16200,17.5,110.11
july,2022,PAK,813,256,364,16200,17.5,110.11
july,2022,PLK,1791,505,948,16200,17.5,110.11
july,2022,STC,2015,608,891,16200,17.5,110.11
july,2022,ZLK,394,159,191,16200,17.5,110.11
july,2022,ULK,788,232,347,16200,17.5,110.11
august,2022,PHA,1775,954,758,16200,17.2,110.11
august,2022,JHM,1311,396,714,16200,17.2,110.11
august,2022,JHC,569,190,268,16200,17.2,110.11
august,2022,KVK,538,188,265,16200,17.2,110.11
august,2022,VYS,590,217,287,16200,17.2,110.11
august,2022,HKK,347,156,150,16200,17.2,110.11
august,2022,LBK,382,196,181,16200,17.2,110.11
august,2022,MSK,685,293,325,16200,17.2,110.11
august,2022,OLK,520,162,216,16200,17.2,110.11
august,2022,PAK,663,271,292,16200,17.2,110.11
august,2022,PLK,1404,450,806,16200,17.2,110.11
august,2022,STC,913,518,397,16200,17.2,110.11
august,2022,ZLK,313,138,153,16200,17.2,110.11
august,2022,ULK,756,249,312,16200,17.2,110.11
september,2022,PHA,1651,848,784,16200,18.0,110.11
september,2022,JHM,986,343,631,16200,18.0,110.11
september,2022,JHC,414,166,212,16200,18.0,110.11
september,2022,KVK,430,115,256,16200,18.0,110.11
september,2022,VYS,624,180,306,16200,18.0,110.11
september,2022,HKK,429,144,237,16200,18.0,110.11
september,2022,LBK,510,174,313,16200,18.0,110.11
september,2022,MSK,871,305,488,16200,18.0,110.11
september,2022,OLK,443,138,233,16200,18.0,110.11
september,2022,PAK,497,176,249,16200,18.0,110.11
september,2022,PLK,1769,442,1145,16200,18.0,110.11
september,2022,STC,1024,463,568,16200,18.0,110.11
september,2022,ZLK,351,129,180,16200,18.0,110.11
september,2022,ULK,595,175,306,16200,18.0,110.11
october,2022,PHA,2496,963,1218,16200,15.1,112.41
october,2022,JHM,1185,410,678,16200,15.1,112.41
october,2022,JHC,450,194,177,16200,15.1,112.41
october,2022,KVK,564,132,349,16200,15.1,112.41
october,2022,VYS,472,151,241,16200,15.1,112.41
october,2022,HKK,378,139,166,16200,15.1,112.41
october,2022,LBK,528,186,279,16200,15.1,112.41
october,2022,MSK,716,242,364,16200,15.1,112.41
october,2022,OLK,314,126,163,16200,15.1,112.41
october,2022,PAK,597,182,306,16200,15.1,112.41
october,2022,PLK,1341,373,790,16200,15.1,112.41
october,2022,STC,1319,530,600,16200,15.1,112.41
october,2022,ZLK,261,123,106,16200,15.1,112.41
october,2022,ULK,583,237,256,16200,15.1,112.41
november,2022,PHA,1908,794,893,16200,16.2,112.41
november,2022,JHM,806,349,445,16200,16.2,112.41
november,2022,JHC,314,113,145,16200,16.2,112.41
november,2022,KVK,366,106,246,16200,16.2,112.41
november,2022,VYS,314,154,136,16200,16.2,112.41
november,2022,HKK,198,92,70,16200,16.2,112.41
november,2022,LBK,276,116,117,16200,16.2,112.41
november,2022,MSK,402,225,164,16200,16.2,112.41
november,2022,OLK,197,81,84,16200,16.2,112.41
november,2022,PAK,400,144,181,16200,16.2,112.41
november,2022,PLK,445,218,246,16200,16.2,112.41
