month,year,kraj,celkem,m_do_65,z_do_65,monthly_min_wage,monthly_inflation_rate_wrt_last_year,reer
january,2008,HKK,,,,8000,7.5,97.58
january,2008,JHC,,,,8000,7.5,97.58
january,2008,JHM,,,,8000,7.5,97.58
january,2008,KVK,,,,8000,7.5,97.58
january,2008,LBK,,,,8000,7.5,97.58
january,2008,MSK,,,,8000,7.5,97.58
january,2008,OLK,,,,8000,7.5,97.58
january,2008,PAK,,,,8000,7.5,97.58
january,2008,PHA,,,,8000,7.5,97.58
january,2008,PLK,,,,8000,7.5,97.58
january,2008,STC,,,,8000,7.5,97.58
january,2008,ULK,,,,8000,7.5,97.58
january,2008,VYS,,,,8000,7.5,97.58
january,2008,ZLK,,,,8000,7.5,97.58
february,2008,HKK,,,,8000,7.5,97.58
february,2008,JHC,,,,8000,7.5,97.58
february,2008,JHM,,,,8000,7.5,97.58
february,2008,KVK,,,,8000,7.5,97.58
february,2008,LBK,,,,8000,7.5,97.58
february,2008,MSK,,,,8000,7.5,97.58
february,2008,OLK,,,,8000,7.5,97.58
february,2008,PAK,,,,8000,7.5,97.58
february,2008,PHA,,,,8000,7.5,97.58
february,2008,PLK,,,,8000,7.5,97.58
february,2008,STC,,,,8000,7.5,97.58
february,2008,ULK,,,,8000,7.5,97.58
february,2008,VYS,,,,8000,7.5,97.58
february,2008,ZLK,,,,8000,7.5,97.58
march,2008,HKK,,,,8000,7.1,97.58
march,2008,JHC,,,,8000,7.1,97.58
march,2008,JHM,,,,8000,7.1,97.58
march,2008,KVK,,,,8000,7.1,97.58
march,2008,LBK,,,,8000,7.1,97.58
march,2008,MSK,,,,8000,7.1,97.58
march,2008,OLK,,,,8000,7.1,97.58
march,2008,PAK,,,,8000,7.1,97.58
march,2008,PHA,,,,8000,7.1,97.58
march,2008,PLK,,,,8000,7.1,97.58
march,2008,STC,,,,8000,7.1,97.58
march,2008,ULK,,,,8000,7.1,97.58
march,2008,VYS,,,,8000,7.1,97.58
march,2008,ZLK,,,,8000,7.1,97.58
april,2008,HKK,,,,8000,6.8,98.69
april,2008,JHC,,,,8000,6.8,98.69
april,2008,JHM,,,,8000,6.8,98.69
april,2008,KVK,,,,8000,6.8,98.69
april,2008,LBK,,,,8000,6.8,98.69
april,2008,MSK,,,,8000,6.8,98.69
april,2008,OLK,,,,8000,6.8,98.69
april,2008,PAK,,,,8000,6.8,98.69
april,2008,PHA,,,,8000,6.8,98.69
april,2008,PLK,,,,8000,6.8,98.69
april,2008,STC,,,,8000,6.8,98.69
april,2008,ULK,,,,8000,6.8,98.69
april,2008,VYS,,,,8000,6.8,98.69
april,2008,ZLK,,,,8000,6.8,98.69
may,2008,HKK,,,,8000,6.8,98.69
may,2008,JHC,,,,8000,6.8,98.69
may,2008,JHM,,,,8000,6.8,98.69
may,2008,KVK,,,,8000,6.8,98.69
may,2008,LBK,,,,8000,6.8,98.69
may,2008,MSK,,,,8000,6.8,98.69
may,2008,OLK,,,,8000,6.8,98.69
may,2008,PAK,,,,8000,6.8,98.69
may,2008,PHA,,,,8000,6.8,98.69
may,2008,PLK,,,,8000,6.8,98.69
may,2008,STC,,,,8000,6.8,98.69
may,2008,ULK,,,,8000,6.8,98.69
may,2008,VYS,,,,8000,6.8,98.69
may,2008,ZLK,,,,8000,6.8,98.69
june,2008,HKK,,,,8000,6.7,98.69
june,2008,JHC,,,,8000,6.7,98.69
june,2008,JHM,,,,8000,6.7,98.69
june,2008,KVK,,,,8000,6.7,98.69
june,2008,LBK,,,,8000,6.7,98.69
june,2008,MSK,,,,8000,6.7,98.69
june,2008,OLK,,,,8000,6.7,98.69
june,2008,PAK,,,,8000,6.7,98.69
june,2008,PHA,,,,8000,6.7,98.69
june,2008,PLK,,,,8000,6.7,98.69
june,2008,STC,,,,8000,6.7,98.69
june,2008,ULK,,,,8000,6.7,98.69
june,2008,VYS,,,,8000,6.7,98.69
june,2008,ZLK,,,,8000,6.7,98.69
july,2008,HKK,,,,8000,6.9,98.88
july,2008,JHC,,,,8000,6.9,98.88
july,2008,JHM,,,,8000,6.9,98.88
july,2008,KVK,,,,8000,6.9,98.88
july,2008,LBK,,,,8000,6.9,98.88
july,2008,MSK,,,,8000,6.9,98.88
july,2008,OLK,,,,8000,6.9,98.88
july,2008,PAK,,,,8000,6.9,98.88
july,2008,PHA,,,,8000,6.9,98.88
july,2008,PLK,,,,8000,6.9,98.88
july,2008,STC,,,,8000,6.9,98.88
july,2008,ULK,,,,8000,6.9,98.88
july,2008,VYS,,,,8000,6.9,98.88
july,2008,ZLK,,,,8000,6.9,98.88
august,2008,HKK,,,,8000,6.5,98.88
august,2008,JHC,,,,8000,6.5,98.88
august,2008,JHM,,,,8000,6.5,98.88
august,2008,KVK,,,,8000,6.5,98.88
august,2008,LBK,,,,8000,6.5,98.88
august,2008,MSK,,,,8000,6.5,98.88
august,2008,OLK,,,,8000,6.5,98.88
august,2008,PAK,,,,8000,6.5,98.88
august,2008,PHA,,,,8000,6.5,98.88
august,2008,PLK,,,,8000,6.5,98.88
august,2008,STC,,,,8000,6.5,98.88
august,2008,ULK,,,,8000,6.5,98.88
august,2008,VYS,,,,8000,6.5,98.88
august,2008,ZLK,,,,8000,6.5,98.88
september,2008,HKK,,,,8000,6.6,98.88
september,2008,JHC,,,,8000,6.6,98.88
september,2008,JHM,,,,8000,6.6,98.88
september,2008,KVK,,,,8000,6.6,98.88
september,2008,LBK,,,,8000,6.6,98.88
september,2008,MSK,,,,8000,6.6,98.88
september,2008,OLK,,,,8000,6.6,98.88
september,2008,PAK,,,,8000,6.6,98.88
september,2008,PHA,,,,8000,6.6,98.88
september,2008,PLK,,,,8000,6.6,98.88
september,2008,STC,,,,8000,6.6,98.88
september,2008,ULK,,,,8000,6.6,98.88
september,2008,VYS,,,,8000,6.6,98.88
september,2008,ZLK,,,,8000,6.6,98.88
october,2008,HKK,,,,8000,6.0,93.78
october,2008,JHC,,,,8000,6.0,93.78
october,2008,JHM,,,,8000,6.0,93.78
october,2008,KVK,,,,8000,6.0,93.78
october,2008,LBK,,,,8000,6.0,93.78
october,2008,MSK,,,,8000,6.0,93.78
october,2008,OLK,,,,8000,6.0,93.78
october,2008,PAK,,,,8000,6.0,93.78
october,2008,PHA,,,,8000,6.0,93.78
october,2008,PLK,,,,8000,6.0,93.78
october,2008,STC,,,,8000,6.0,93.78
october,2008,ULK,,,,8000,6.0,93.78
october,2008,VYS,,,,8000,6.0,93.78
october,2008,ZLK,,,,8000,6.0,93.78
november,2008,HKK,,,,8000,4.4,93.78
november,2008,JHC,,,,8000,4.4,93.78
november,2008,JHM,,,,8000,4.4,93.78
november,2008,KVK,,,,8000,4.4,93.78
november,2008,LBK,,,,8000,4.4,93.78
november,2008,MSK,,,,8000,4.4,93.78
november,2008,OLK,,,,8000,4.4,93.78
november,2008,PAK,,,,8000,4.4,93.78
november,2008,PHA,,,,8000,4.4,93.78
november,2008,PLK,,,,8000,4.4,93.78
november,2008,STC,,,,8000,4.4,93.78
november,2008,ULK,,,,8000,4.4,93.78
november,2008,VYS,,,,8000,4.4,93.78
november,2008,ZLK,,,,8000,4.4,93.78
december,2008,HKK,,,,8000,3.6,93.78
december,2008,JHC,,,,8000,3.6,93.78
december,2008,JHM,,,,8000,3.6,93.78
december,2008,KVK,,,,8000,3.6,93.78
december,2008,LBK,,,,8000,3.6,93.78
december,2008,MSK,,,,8000,3.6,93.78
december,2008,OLK,,,,8000,3.6,93.78
december,2008,PAK,,,,8000,3.6,93.78
december,2008,PHA,,,,8000,3.6,93.78
december,2008,PLK,,,,8000,3.6,93.78
december,2008,STC,,,,8000,3.6,93.78
december,2008,ULK,,,,8000,3.6,93.78
december,2008,VYS,,,,8000,3.6,93.78
december,2008,ZLK,,,,8000,3.6,93.78
january,2009,HKK,,,,8000,2.2,89.45
january,2009,JHC,,,,8000,2.2,89.45
january,2009,JHM,,,,8000,2.2,89.45
january,2009,KVK,,,,8000,2.2,89.45
january,2009,LBK,,,,8000,2.2,89.45
january,2009,MSK,,,,8000,2.2,89.45
january,2009,OLK,,,,8000,2.2,89.45
january,2009,PAK,,,,8000,2.2,89.45
january,2009,PHA,,,,8000,2.2,89.45
january,2009,PLK,,,,8000,2.2,89.45
january,2009,STC,,,,8000,2.2,89.45
january,2009,ULK,,,,8000,2.2,89.45
january,2009,VYS,,,,8000,2.2,89.45
january,2009,ZLK,,,,8000,2.2,89.45
february,2009,HKK,,,,8000,2.0,89.45
february,2009,JHC,,,,8000,2.0,89.45
february,2009,JHM,,,,8000,2.0,89.45
february,2009,KVK,,,,8000,2.0,89.45
february,2009,LBK,,,,8000,2.0,89.45
february,2009,MSK,,,,8000,2.0,89.45
february,2009,OLK,,,,8000,2.0,89.45
february,2009,PAK,,,,8000,2.0,89.45
february,2009,PHA,,,,8000,2.0,89.45
february,2009,PLK,,,,8000,2.0,89.45
february,2009,STC,,,,8000,2.0,89.45
february,2009,ULK,,,,8000,2.0,89.45
february,2009,VYS,,,,8000,2.0,89.45
february,2009,ZLK,,,,8000,2.0,89.45
march,2009,HKK,,,,8000,2.3,89.45
march,2009,JHC,,,,8000,2.3,89.45
march,2009,JHM,,,,8000,2.3,89.45
march,2009,KVK,,,,8000,2.3,89.45
march,2009,LBK,,,,8000,2.3,89.45
march,2009,MSK,,,,8000,2.3,89.45
march,2009,OLK,,,,8000,2.3,89.45
march,2009,PAK,,,,8000,2.3,89.45
march,2009,PHA,,,,8000,2.3,89.45
march,2009,PLK,,,,8000,2.3,89.45
march,2009,STC,,,,8000,2.3,89.45
march,2009,ULK,,,,8000,2.3,89.45
march,2009,VYS,,,,8000,2.3,89.45
march,2009,ZLK,,,,8000,2.3,89.45
april,2009,HKK,,,,8000,1.8,91.81
april,2009,JHC,,,,8000,1.8,91.81
april,2009,JHM,,,,8000,1.8,91.81
april,2009,KVK,,,,8000,1.8,91.81
april,2009,LBK,,,,8000,1.8,91.81
april,2009,MSK,,,,8000,1.8,91.81
april,2009,OLK,,,,8000,1.8,91.81
april,2009,PAK,,,,8000,1.8,91.81
april,2009,PHA,,,,8000,1.8,91.81
april,2009,PLK,,,,8000,1.8,91.81
april,2009,STC,,,,8000,1.8,91.81
april,2009,ULK,,,,8000,1.8,91.81
april,2009,VYS,,,,8000,1.8,91.81
april,2009,ZLK,,,,8000,1.8,91.81
may,2009,HKK,,,,8000,1.3,91.81
may,2009,JHC,,,,8000,1.3,91.81
may,2009,JHM,,,,8000,1.3,91.81
may,2009,KVK,,,,8000,1.3,91.81
may,2009,LBK,,,,8000,1.3,91.81
may,2009,MSK,,,,8000,1.3,91.81
may,2009,OLK,,,,8000,1.3,91.81
may,2009,PAK,,,,8000,1.3,91.81
may,2009,PHA,,,,8000,1.3,91.81
may,2009,PLK,,,,8000,1.3,91.81
may,2009,STC,,,,8000,1.3,91.81
may,2009,ULK,,,,8000,1.3,91.81
may,2009,VYS,,,,8000,1.3,91.81
may,2009,ZLK,,,,8000,1.3,91.81
june,2009,HKK,,,,8000,1.2,91.81
june,2009,JHC,,,,8000,1.2,91.81
june,2009,JHM,,,,8000,1.2,91.81
june,2009,KVK,,,,8000,1.2,91.81
june,2009,LBK,,,,8000,1.2,91.81
june,2009,MSK,,,,8000,1.2,91.81
june,2009,OLK,,,,8000,1.2,91.81
june,2009,PAK,,,,8000,1.2,91.81
june,2009,PHA,,,,8000,1.2,91.81
june,2009,PLK,,,,8000,1.2,91.81
june,2009,STC,,,,8000,1.2,91.81
june,2009,ULK,,,,8000,1.2,91.81
june,2009,VYS,,,,8000,1.2,91.81
june,2009,ZLK,,,,8000,1.2,91.81
july,2009,HKK,,,,8000,0.3,94.04
july,2009,JHC,,,,8000,0.3,94.04
july,2009,JHM,,,,8000,0.3,94.04
july,2009,KVK,,,,8000,0.3,94.04
july,2009,LBK,,,,8000,0.3,94.04
july,2009,MSK,,,,8000,0.3,94.04
july,2009,OLK,,,,8000,0.3,94.04
july,2009,PAK,,,,8000,0.3,94.04
july,2009,PHA,,,,8000,0.3,94.04
july,2009,PLK,,,,8000,0.3,94.04
july,2009,STC,,,,8000,0.3,94.04
july,2009,ULK,,,,8000,0.3,94.04
july,2009,VYS,,,,8000,0.3,94.04
july,2009,ZLK,,,,8000,0.3,94.04
august,2009,HKK,,,,8000,0.2,94.04
august,2009,JHC,,,,8000,0.2,94.04
august,2009,JHM,,,,8000,0.2,94.04
august,2009,KVK,,,,8000,0.2,94.04
august,2009,LBK,,,,8000,0.2,94.04
august,2009,MSK,,,,8000,0.2,94.04
august,2009,OLK,,,,8000,0.2,94.04
august,2009,PAK,,,,8000,0.2,94.04
august,2009,PHA,,,,8000,0.2,94.04
august,2009,PLK,,,,8000,0.2,94.04
august,2009,STC,,,,8000,0.2,94.04
august,2009,ULK,,,,8000,0.2,94.04
august,2009,VYS,,,,8000,0.2,94.04
august,2009,ZLK,,,,8000,0.2,94.04
september,2009,HKK,,,,8000,0.0,94.04
september,2009,JHC,,,,8000,0.0,94.04
september,2009,JHM,,,,8000,0.0,94.04
september,2009,KVK,,,,8000,0.0,94.04
september,2009,LBK,,,,8000,0.0,94.04
september,2009,MSK,,,,8000,0.0,94.04
september,2009,OLK,,,,8000,0.0,94.04
september,2009,PAK,,,,8000,0.0,94.04
september,2009,PHA,,,,8000,0.0,94.04
september,2009,PLK,,,,8000,0.0,94.04
september,2009,STC,,,,8000,0.0,94.04
september,2009,ULK,,,,8000,0.0,94.04
september,2009,VYS,,,,8000,0.0,94.04
september,2009,ZLK,,,,8000,0.0,94.04
october,2009,HKK,,,,8000,-0.2,94.46
october,2009,JHC,,,,8000,-0.2,94.46
october,2009,JHM,,,,8000,-0.2,94.46
october,2009,KVK,,,,8000,-0.2,94.46
