month,year,kraj,celkem,m_do_65,z_do_65
march,2022,PHA,60636,6854,27163
march,2022,JHM,24239,3138,10331
march,2022,JHC,12647,1558,5449
march,2022,KVK,9804,1152,4292
march,2022,VYS,8377,1123,3314
march,2022,HKK,10921,1280,4562
march,2022,LBK,10401,992,4541
march,2022,MSK,12895,1306,5603
march,2022,OLK,7352,788,3159
march,2022,PAK,10244,1277,4334
march,2022,PLK,18008,2391,8311
march,2022,STC,36486,3861,15427
march,2022,ZLK,7241,977,3053
march,2022,ULK,12854,1424,5452
april,2022,PHA,74113,10876,32946
april,2022,JHM,30934,5008,13228
april,2022,JHC,16102,2587,6901
april,2022,KVK,12083,1624,5316
april,2022,VYS,11081,2070,4360
april,2022,HKK,14457,2204,6042
april,2022,LBK,13149,1700,5711
april,2022,MSK,17863,2222,7648
april,2022,OLK,9817,1442,4191
april,2022,PAK,13564,2357,5705
april,2022,PLK,23616,4370,10757
april,2022,STC,46699,6618,19569
april,2022,ZLK,9560,1617,4048
april,2022,ULK,16746,2412,7046
may,2022,PHA,83545,13681,37357
may,2022,JHM,35032,6155,15154
may,2022,JHC,17911,3198,7747
may,2022,KVK,13176,1901,5797
may,2022,VYS,12677,2618,5053
may,2022,HKK,16102,2738,6795
may,2022,LBK,14549,2106,6399
may,2022,MSK,20837,2795,8809
may,2022,OLK,11023,1824,4748
may,2022,PAK,15627,3025,6637
may,2022,PLK,26460,5262,12211
may,2022,STC,52612,8263,22134
may,2022,ZLK,10587,1933,4540
may,2022,ULK,18733,2952,7936
june,2022,PHA,88967,15033,40060
june,2022,JHM,37616,6700,16547
june,2022,JHC,18835,3449,8192
june,2022,KVK,13821,2065,6143
june,2022,VYS,13568,2829,5496
june,2022,HKK,17295,3015,7376
june,2022,LBK,15360,2339,6785
june,2022,MSK,22021,3064,9314
june,2022,OLK,11730,2006,5084
june,2022,PAK,16703,3302,7150
june,2022,PLK,28291,5710,13208
june,2022,STC,55197,8900,23358
june,2022,ZLK,11148,2103,4832
june,2022,ULK,19836,3243,8455
july,2022,PHA,91860,15999,41410
july,2022,JHM,39557,7152,17520
july,2022,JHC,19665,3654,8631
july,2022,KVK,14519,2209,6470
july,2022,VYS,14112,3002,5727
july,2022,HKK,18044,3227,7700
july,2022,LBK,15851,2518,7025
july,2022,MSK,22877,3332,9684
july,2022,OLK,12362,2156,5354
july,2022,PAK,17516,3558,7514
july,2022,PLK,30082,6215,14156
july,2022,STC,57212,9508,24249
july,2022,ZLK,11542,2262,5023
july,2022,ULK,20624,3475,8802
august,2022,PHA,93635,16953,42168
august,2022,JHM,40868,7548,18234
august,2022,JHC,20234,3844,8899
august,2022,KVK,15057,2397,6735
august,2022,VYS,14702,3219,6014
august,2022,HKK,18391,3383,7850
august,2022,LBK,16233,2714,7206
august,2022,MSK,23562,3625,10009
august,2022,OLK,12882,2318,5570
august,2022,PAK,18179,3829,7806
august,2022,PLK,31486,6665,14962
august,2022,STC,58125,10026,24646
august,2022,ZLK,11855,2400,5176
august,2022,ULK,21380,3724,9114
september,2022,PHA,95286,17801,42952
september,2022,JHM,41854,7891,18865
september,2022,JHC,20648,4010,9111
september,2022,KVK,15487,2512,6991
september,2022,VYS,15326,3399,6320
september,2022,HKK,18820,3527,8087
september,2022,LBK,16743,2888,7519
september,2022,MSK,24433,3930,10497
september,2022,OLK,13325,2456,5803
september,2022,PAK,18676,4005,8055
september,2022,PLK,33255,7107,16107
september,2022,STC,59149,10489,25214
september,2022,ZLK,12206,2529,5356
september,2022,ULK,21975,3899,9420
october,2022,PHA,97782,18764,44170
october,2022,JHM,43039,8301,19543
october,2022,JHC,21098,4204,9288
october,2022,KVK,16051,2644,7340
october,2022,VYS,15798,3550,6561
october,2022,HKK,19198,3666,8253
october,2022,LBK,17271,3074,7798
october,2022,MSK,25149,4172,10861
october,2022,OLK,13639,2582,5966
october,2022,PAK,19273,4187,8361
october,2022,PLK,34596,7480,16897
october,2022,STC,60468,11019,25814
october,2022,ZLK,12467,2652,5462
october,2022,ULK,22558,4136,9676
november,2022,PHA,99690,19558,45063
november,2022,JHM,43845,8650,19988
november,2022,JHC,21412,4317,9433
november,2022,KVK,16417,2750,7586
november,2022,VYS,16112,3704,6697
november,2022,HKK,19396,3758,8323
november,2022,LBK,17547,3190,7915
november,2022,MSK,25551,4397,11025
november,2022,OLK,13836,2663,6050
november,2022,PAK,19673,4331,8542
november,2022,PLK,35041,7698,17143
november,2022,STC,61019,11349,26027
november,2022,ZLK,12616,2717,5538
november,2022,ULK,22830,4253,9763
december,2022,PHA,101012,20057,45697
december,2022,JHM,44371,8847,20279
december,2022,JHC,21618,4388,9500
december,2022,KVK,16551,2797,7649
december,2022,VYS,16269,3769,6757
december,2022,HKK,19622,3855,8389
december,2022,LBK,17689,3236,7984
december,2022,MSK,25963,4552,11199
december,2022,OLK,13955,2706,6108
december,2022,PAK,19888,4405,8639
december,2022,PLK,35484,7839,17398
december,2022,STC,61318,11528,26197
december,2022,ZLK,12743,2771,5584
december,2022,ULK,23185,4371,9885
january,2023,PHA,103238,20925,46642
january,2023,JHM,45055,9087,20651
january,2023,JHC,21931,4461,9661
january,2023,KVK,6904,1257,3421
january,2023,VYS,16710,3919,6964
january,2023,HKK,19939,3979,8520
january,2023,LBK,18012,3336,8191
january,2023,MSK,26388,4705,11436
january,2023,OLK,9561,1935,4146
january,2023,PAK,20338,4524,8868
january,2023,PLK,33657,7542,16629
january,2023,STC,62131,11884,26604
january,2023,ZLK,12883,2847,5656
january,2023,ULK,23553,4501,10047
february,2023,PHA,105483,21857,47511
february,2023,JHM,45718,9362,20935
february,2023,JHC,21881,4480,9610
february,2023,KVK,17438,3021,8127
february,2023,VYS,17135,4080,7137
february,2023,HKK,20182,4111,8588
february,2023,LBK,18421,3475,8392
february,2023,MSK,27014,4886,11724
february,2023,OLK,14438,2892,6312
february,2023,PAK,20708,4644,9025
february,2023,PLK,36735,8292,18010
february,2023,STC,63327,12353,27177
february,2023,ZLK,13092,2952,5723
february,2023,ULK,23811,4604,10101
march,2023,PHA,107316,22781,48131
march,2023,JHM,46273,9628,21193
march,2023,JHC,22371,4680,9802
march,2023,KVK,17614,3088,8158
march,2023,VYS,17527,4248,7305
march,2023,HKK,20382,4214,8661
march,2023,LBK,18687,3591,8536
march,2023,MSK,27250,5040,11829
march,2023,OLK,14636,2968,6399
march,2023,PAK,20882,4729,9075
march,2023,PLK,36970,8479,18098
march,2023,STC,63947,12731,27444
march,2023,ZLK,13321,3044,5826
march,2023,ULK,24012,4728,10129
april,2023,PHA,80869,19773,36004
april,2023,JHM,33458,8107,15235
april,2023,JHC,16624,4028,7127
april,2023,KVK,12967,2568,5965
april,2023,VYS,12949,3547,5425
april,2023,HKK,14658,3502,6150
april,2023,LBK,14062,3084,6409
april,2023,MSK,19350,4290,8419
april,2023,OLK,10650,2523,4588
april,2023,PAK,15455,3997,6593
april,2023,PLK,27744,7133,13468
april,2023,STC,45345,10699,19401
april,2023,ZLK,10186,2581,4438
april,2023,ULK,17327,3905,7146
may,2023,PHA,82840,20593,36865
