month,year,monthly_inflation_rate_wrt_last_year,kraj
march,2022,12.7,PHA
march,2022,12.7,HKK
march,2022,12.7,STC
march,2022,12.7,PAK
march,2022,12.7,VYS
march,2022,12.7,JHC
march,2022,12.7,JHM
march,2022,12.7,PLK
march,2022,12.7,OLK
march,2022,12.7,KVK
march,2022,12.7,ZLK
march,2022,12.7,ULK
march,2022,12.7,MSK
march,2022,12.7,LBK
april,2022,14.2,PHA
april,2022,14.2,HKK
april,2022,14.2,STC
april,2022,14.2,PAK
april,2022,14.2,VYS
april,2022,14.2,JHC
april,2022,14.2,JHM
april,2022,14.2,PLK
april,2022,14.2,OLK
april,2022,14.2,KVK
april,2022,14.2,ZLK
april,2022,14.2,ULK
april,2022,14.2,MSK
april,2022,14.2,LBK
may,2022,16.0,PHA
may,2022,16.0,HKK
may,2022,16.0,STC
may,2022,16.0,PAK
may,2022,16.0,VYS
may,2022,16.0,JHC
may,2022,16.0,JHM
may,2022,16.0,PLK
may,2022,16.0,OLK
may,2022,16.0,KVK
may,2022,16.0,ZLK
may,2022,16.0,ULK
may,2022,16.0,MSK
may,2022,16.0,LBK
june,2022,17.2,PHA
june,2022,17.2,HKK
june,2022,17.2,STC
june,2022,17.2,PAK
june,2022,17.2,VYS
june,2022,17.2,JHC
june,2022,17.2,JHM
june,2022,17.2,PLK
june,2022,17.2,OLK
june,2022,17.2,KVK
june,2022,17.2,ZLK
june,2022,17.2,ULK
june,2022,17.2,MSK
june,2022,17.2,LBK
july,2022,17.5,PHA
july,2022,17.5,HKK
july,2022,17.5,STC
july,2022,17.5,PAK
july,2022,17.5,VYS
july,2022,17.5,JHC
july,2022,17.5,JHM
july,2022,17.5,PLK
july,2022,17.5,OLK
july,2022,17.5,KVK
july,2022,17.5,ZLK
july,2022,17.5,ULK
july,2022,17.5,MSK
july,2022,17.5,LBK
august,2022,17.2,PHA
august,2022,17.2,HKK
august,2022,17.2,STC
august,2022,17.2,PAK
august,2022,17.2,VYS
august,2022,17.2,JHC
august,2022,17.2,JHM
august,2022,17.2,PLK
august,2022,17.2,OLK
august,2022,17.2,KVK
august,2022,17.2,ZLK
august,2022,17.2,ULK
august,2022,17.2,MSK
august,2022,17.2,LBK
september,2022,18.0,PHA
september,2022,18.0,HKK
september,2022,18.0,STC
september,2022,18.0,PAK
september,2022,18.0,VYS
september,2022,18.0,JHC
september,2022,18.0,JHM
september,2022,18.0,PLK
september,2022,18.0,OLK
september,2022,18.0,KVK
september,2022,18.0,ZLK
september,2022,18.0,ULK
september,2022,18.0,MSK
september,2022,18.0,LBK
october,2022,15.1,PHA
october,2022,15.1,HKK
october,2022,15.1,STC
october,2022,15.1,PAK
october,2022,15.1,VYS
october,2022,15.1,JHC
october,2022,15.1,JHM
october,2022,15.1,PLK
october,2022,15.1,OLK
october,2022,15.1,KVK
october,2022,15.1,ZLK
october,2022,15.1,ULK
october,2022,15.1,MSK
october,2022,15.1,LBK
november,2022,16.2,PHA
november,2022,16.2,HKK
november,2022,16.2,STC
november,2022,16.2,PAK
november,2022,16.2,VYS
november,2022,16.2,JHC
november,2022,16.2,JHM
november,2022,16.2,PLK
november,2022,16.2,OLK
november,2022,16.2,KVK
november,2022,16.2,ZLK
