month,year,kraj,celkem,m_do_65,z_do_65
march,2022,PHA,59949,6747,26848
march,2022,JHM,23965,3079,10195
march,2022,JHC,12279,1492,5285
march,2022,KVK,9625,1125,4212
march,2022,VYS,8257,1092,3268
march,2022,HKK,10822,1253,4532
march,2022,LBK,10262,947,4475
march,2022,MSK,12717,1273,5508
march,2022,OLK,7278,762,3140
march,2022,PAK,10089,1249,4256
march,2022,PLK,17734,2322,8178
march,2022,STC,35837,3742,15131
march,2022,ZLK,7080,929,2985
march,2022,ULK,12611,1360,5356
april,2022,PHA,14164,4129,6098
april,2022,JHM,6969,1929,3033
april,2022,JHC,3823,1095,1616
april,2022,KVK,2458,499,1104
april,2022,VYS,2824,978,1092
april,2022,HKK,3635,951,1510
april,2022,LBK,2887,753,1236
april,2022,MSK,5146,949,2140
april,2022,OLK,2539,680,1051
april,2022,PAK,3475,1108,1449
april,2022,PLK,5882,2048,2579
april,2022,STC,10862,2876,4438
april,2022,ZLK,2480,688,1063
april,2022,ULK,4135,1052,1690
may,2022,PHA,9432,2805,4411
may,2022,JHM,4098,1147,1926
may,2022,JHC,1809,611,846
may,2022,KVK,1093,277,481
may,2022,VYS,1596,548,693
may,2022,HKK,1645,534,753
may,2022,LBK,1400,406,688
may,2022,MSK,2974,573,1161
may,2022,OLK,1206,382,557
may,2022,PAK,2063,668,932
may,2022,PLK,2844,892,1454
may,2022,STC,5913,1645,2565
may,2022,ZLK,1027,316,492
may,2022,ULK,1987,540,890
june,2022,PHA,5422,1352,2703
june,2022,JHM,2584,545,1393
june,2022,JHC,924,251,445
june,2022,KVK,645,164,346
june,2022,VYS,891,211,443
june,2022,HKK,1193,277,581
june,2022,LBK,811,233,386
june,2022,MSK,1184,269,505
june,2022,OLK,707,182,336
june,2022,PAK,1076,277,513
june,2022,PLK,1831,448,997
june,2022,STC,2585,637,1224
june,2022,ZLK,561,170,292
june,2022,ULK,1103,291,519
july,2022,PHA,2893,966,1350
july,2022,JHM,1941,452,973
july,2022,JHC,830,205,439
july,2022,KVK,698,144,327
july,2022,VYS,544,173,231
july,2022,HKK,749,212,324
