month,year,kraj,monthly_min_wage
january,2008,PHA,8000
january,2008,HKK,8000
january,2008,STC,8000
january,2008,PAK,8000
january,2008,VYS,8000
january,2008,JHC,8000
january,2008,JHM,8000
january,2008,PLK,8000
january,2008,OLK,8000
january,2008,KVK,8000
january,2008,ZLK,8000
january,2008,ULK,8000
january,2008,MSK,8000
january,2008,LBK,8000
february,2008,PHA,8000
february,2008,HKK,8000
february,2008,STC,8000
february,2008,PAK,8000
february,2008,VYS,8000
february,2008,JHC,8000
february,2008,JHM,8000
february,2008,PLK,8000
february,2008,OLK,8000
february,2008,KVK,8000
february,2008,ZLK,8000
february,2008,ULK,8000
february,2008,MSK,8000
february,2008,LBK,8000
march,2008,PHA,8000
march,2008,HKK,8000
march,2008,STC,8000
march,2008,PAK,8000
march,2008,VYS,8000
march,2008,JHC,8000
march,2008,JHM,8000
march,2008,PLK,8000
march,2008,OLK,8000
march,2008,KVK,8000
march,2008,ZLK,8000
march,2008,ULK,8000
march,2008,MSK,8000
march,2008,LBK,8000
april,2008,PHA,8000
april,2008,HKK,8000
april,2008,STC,8000
april,2008,PAK,8000
april,2008,VYS,8000
april,2008,JHC,8000
april,2008,JHM,8000
april,2008,PLK,8000
april,2008,OLK,8000
april,2008,KVK,8000
april,2008,ZLK,8000
april,2008,ULK,8000
april,2008,MSK,8000
april,2008,LBK,8000
may,2008,PHA,8000
may,2008,HKK,8000
may,2008,STC,8000
may,2008,PAK,8000
may,2008,VYS,8000
may,2008,JHC,8000
may,2008,JHM,8000
may,2008,PLK,8000
may,2008,OLK,8000
may,2008,KVK,8000
may,2008,ZLK,8000
may,2008,ULK,8000
may,2008,MSK,8000
may,2008,LBK,8000
june,2008,PHA,8000
june,2008,HKK,8000
june,2008,STC,8000
june,2008,PAK,8000
june,2008,VYS,8000
june,2008,JHC,8000
june,2008,JHM,8000
june,2008,PLK,8000
june,2008,OLK,8000
june,2008,KVK,8000
june,2008,ZLK,8000
june,2008,ULK,8000
june,2008,MSK,8000
june,2008,LBK,8000
july,2008,PHA,8000
july,2008,HKK,8000
july,2008,STC,8000
july,2008,PAK,8000
july,2008,VYS,8000
july,2008,JHC,8000
july,2008,JHM,8000
july,2008,PLK,8000
july,2008,OLK,8000
july,2008,KVK,8000
july,2008,ZLK,8000
july,2008,ULK,8000
july,2008,MSK,8000
july,2008,LBK,8000
august,2008,PHA,8000
august,2008,HKK,8000
august,2008,STC,8000
august,2008,PAK,8000
august,2008,VYS,8000
august,2008,JHC,8000
august,2008,JHM,8000
august,2008,PLK,8000
august,2008,OLK,8000
august,2008,KVK,8000
august,2008,ZLK,8000
august,2008,ULK,8000
august,2008,MSK,8000
august,2008,LBK,8000
september,2008,PHA,8000
september,2008,HKK,8000
september,2008,STC,8000
september,2008,PAK,8000
september,2008,VYS,8000
september,2008,JHC,8000
september,2008,JHM,8000
september,2008,PLK,8000
september,2008,OLK,8000
september,2008,KVK,8000
september,2008,ZLK,8000
september,2008,ULK,8000
september,2008,MSK,8000
september,2008,LBK,8000
october,2008,PHA,8000
october,2008,HKK,8000
october,2008,STC,8000
october,2008,PAK,8000
october,2008,VYS,8000
october,2008,JHC,8000
october,2008,JHM,8000
october,2008,PLK,8000
october,2008,OLK,8000
october,2008,KVK,8000
october,2008,ZLK,8000
october,2008,ULK,8000
october,2008,MSK,8000
october,2008,LBK,8000
november,2008,PHA,8000
november,2008,HKK,8000
november,2008,STC,8000
november,2008,PAK,8000
november,2008,VYS,8000
november,2008,JHC,8000
november,2008,JHM,8000
november,2008,PLK,8000
november,2008,OLK,8000
november,2008,KVK,8000
november,2008,ZLK,8000
november,2008,ULK,8000
november,2008,MSK,8000
november,2008,LBK,8000
december,2008,PHA,8000
december,2008,HKK,8000
december,2008,STC,8000
december,2008,PAK,8000
december,2008,VYS,8000
december,2008,JHC,8000
december,2008,JHM,8000
december,2008,PLK,8000
december,2008,OLK,8000
december,2008,KVK,8000
december,2008,ZLK,8000
december,2008,ULK,8000
december,2008,MSK,8000
december,2008,LBK,8000
january,2009,PHA,8000
january,2009,HKK,8000
january,2009,STC,8000
january,2009,PAK,8000
january,2009,VYS,8000
january,2009,JHC,8000
january,2009,JHM,8000
january,2009,PLK,8000
january,2009,OLK,8000
january,2009,KVK,8000
january,2009,ZLK,8000
january,2009,ULK,8000
january,2009,MSK,8000
january,2009,LBK,8000
february,2009,PHA,8000
february,2009,HKK,8000
february,2009,STC,8000
