month,year,reer,kraj
january,2008,97.58,PHA
january,2008,97.58,HKK
january,2008,97.58,STC
january,2008,97.58,PAK
january,2008,97.58,VYS
january,2008,97.58,JHC
january,2008,97.58,JHM
january,2008,97.58,PLK
january,2008,97.58,OLK
january,2008,97.58,KVK
january,2008,97.58,ZLK
january,2008,97.58,ULK
january,2008,97.58,MSK
january,2008,97.58,LBK
february,2008,97.58,PHA
february,2008,97.58,HKK
february,2008,97.58,STC
february,2008,97.58,PAK
february,2008,97.58,VYS
february,2008,97.58,JHC
february,2008,97.58,JHM
february,2008,97.58,PLK
february,2008,97.58,OLK
february,2008,97.58,KVK
february,2008,97.58,ZLK
february,2008,97.58,ULK
february,2008,97.58,MSK
february,2008,97.58,LBK
march,2008,97.58,PHA
march,2008,97.58,HKK
march,2008,97.58,STC
march,2008,97.58,PAK
march,2008,97.58,VYS
march,2008,97.58,JHC
march,2008,97.58,JHM
march,2008,97.58,PLK
march,2008,97.58,OLK
march,2008,97.58,KVK
march,2008,97.58,ZLK
march,2008,97.58,ULK
march,2008,97.58,MSK
march,2008,97.58,LBK
april,2008,98.69,PHA
april,2008,98.69,HKK
april,2008,98.69,STC
april,2008,98.69,PAK
april,2008,98.69,VYS
april,2008,98.69,JHC
april,2008,98.69,JHM
april,2008,98.69,PLK
april,2008,98.69,OLK
april,2008,98.69,KVK
april,2008,98.69,ZLK
april,2008,98.69,ULK
april,2008,98.69,MSK
april,2008,98.69,LBK
may,2008,98.69,PHA
may,2008,98.69,HKK
may,2008,98.69,STC
may,2008,98.69,PAK
may,2008,98.69,VYS
may,2008,98.69,JHC
may,2008,98.69,JHM
may,2008,98.69,PLK
may,2008,98.69,OLK
may,2008,98.69,KVK
may,2008,98.69,ZLK
may,2008,98.69,ULK
may,2008,98.69,MSK
may,2008,98.69,LBK
june,2008,98.69,PHA
june,2008,98.69,HKK
june,2008,98.69,STC
june,2008,98.69,PAK
june,2008,98.69,VYS
june,2008,98.69,JHC
june,2008,98.69,JHM
june,2008,98.69,PLK
june,2008,98.69,OLK
june,2008,98.69,KVK
june,2008,98.69,ZLK
june,2008,98.69,ULK
june,2008,98.69,MSK
june,2008,98.69,LBK
july,2008,98.88,PHA
july,2008,98.88,HKK
july,2008,98.88,STC
july,2008,98.88,PAK
july,2008,98.88,VYS
july,2008,98.88,JHC
july,2008,98.88,JHM
july,2008,98.88,PLK
july,2008,98.88,OLK
july,2008,98.88,KVK
july,2008,98.88,ZLK
july,2008,98.88,ULK
july,2008,98.88,MSK
july,2008,98.88,LBK
august,2008,98.88,PHA
august,2008,98.88,HKK
august,2008,98.88,STC
august,2008,98.88,PAK
august,2008,98.88,VYS
august,2008,98.88,JHC
august,2008,98.88,JHM
august,2008,98.88,PLK
august,2008,98.88,OLK
august,2008,98.88,KVK
august,2008,98.88,ZLK
august,2008,98.88,ULK
august,2008,98.88,MSK
august,2008,98.88,LBK
september,2008,98.88,PHA
september,2008,98.88,HKK
september,2008,98.88,STC
september,2008,98.88,PAK
september,2008,98.88,VYS
september,2008,98.88,JHC
september,2008,98.88,JHM
september,2008,98.88,PLK
september,2008,98.88,OLK
september,2008,98.88,KVK
september,2008,98.88,ZLK
september,2008,98.88,ULK
september,2008,98.88,MSK
september,2008,98.88,LBK
october,2008,93.78,PHA
october,2008,93.78,HKK
october,2008,93.78,STC
october,2008,93.78,PAK
october,2008,93.78,VYS
october,2008,93.78,JHC
october,2008,93.78,JHM
october,2008,93.78,PLK
october,2008,93.78,OLK
october,2008,93.78,KVK
october,2008,93.78,ZLK
october,2008,93.78,ULK
october,2008,93.78,MSK
october,2008,93.78,LBK
november,2008,93.78,PHA
november,2008,93.78,HKK
november,2008,93.78,STC
november,2008,93.78,PAK
november,2008,93.78,VYS
november,2008,93.78,JHC
november,2008,93.78,JHM
november,2008,93.78,PLK
november,2008,93.78,OLK
november,2008,93.78,KVK
november,2008,93.78,ZLK
november,2008,93.78,ULK
november,2008,93.78,MSK
november,2008,93.78,LBK
december,2008,93.78,PHA
december,2008,93.78,HKK
december,2008,93.78,STC
december,2008,93.78,PAK
december,2008,93.78,VYS
december,2008,93.78,JHC
december,2008,93.78,JHM
december,2008,93.78,PLK
december,2008,93.78,OLK
december,2008,93.78,KVK
december,2008,93.78,ZLK
december,2008,93.78,ULK
december,2008,93.78,MSK
december,2008,93.78,LBK
january,2009,89.45,PHA
january,2009,89.45,HKK
january,2009,89.45,STC
january,2009,89.45,PAK
january,2009,89.45,VYS
january,2009,89.45,JHC
january,2009,89.45,JHM
january,2009,89.45,PLK
january,2009,89.45,OLK
january,2009,89.45,KVK
january,2009,89.45,ZLK
january,2009,89.45,ULK
january,2009,89.45,MSK
january,2009,89.45,LBK
february,2009,89.45,PHA
february,2009,89.45,HKK
february,2009,89.45,STC
february,2009,89.45,PAK
february,2009,89.45,VYS
february,2009,89.45,JHC
february,2009,89.45,JHM
february,2009,89.45,PLK
february,2009,89.45,OLK
february,2009,89.45,KVK
february,2009,89.45,ZLK
february,2009,89.45,ULK
february,2009,89.45,MSK
february,2009,89.45,LBK
march,2009,89.45,PHA
march,2009,89.45,HKK
march,2009,89.45,STC
march,2009,89.45,PAK
march,2009,89.45,VYS
march,2009,89.45,JHC
march,2009,89.45,JHM
march,2009,89.45,PLK
march,2009,89.45,OLK
march,2009,89.45,KVK
march,2009,89.45,ZLK
march,2009,89.45,ULK
march,2009,89.45,MSK
march,2009,89.45,LBK
april,2009,91.81,PHA
april,2009,91.81,HKK
april,2009,91.81,STC
april,2009,91.81,PAK
april,2009,91.81,VYS
april,2009,91.81,JHC
april,2009,91.81,JHM
april,2009,91.81,PLK
april,2009,91.81,OLK
april,2009,91.81,KVK
april,2009,91.81,ZLK
april,2009,91.81,ULK
april,2009,91.81,MSK
april,2009,91.81,LBK
may,2009,91.81,PHA
may,2009,91.81,HKK
may,2009,91.81,STC
may,2009,91.81,PAK
may,2009,91.81,VYS
may,2009,91.81,JHC
may,2009,91.81,JHM
may,2009,91.81,PLK
may,2009,91.81,OLK
may,2009,91.81,KVK
may,2009,91.81,ZLK
may,2009,91.81,ULK
may,2009,91.81,MSK
may,2009,91.81,LBK
june,2009,91.81,PHA
june,2009,91.81,HKK
june,2009,91.81,STC
june,2009,91.81,PAK
june,2009,91.81,VYS
june,2009,91.81,JHC
june,2009,91.81,JHM
june,2009,91.81,PLK
june,2009,91.81,OLK
june,2009,91.81,KVK
june,2009,91.81,ZLK
june,2009,91.81,ULK
june,2009,91.81,MSK
june,2009,91.81,LBK
july,2009,94.04,PHA
july,2009,94.04,HKK
july,2009,94.04,STC
july,2009,94.04,PAK
july,2009,94.04,VYS
july,2009,94.04,JHC
july,2009,94.04,JHM
july,2009,94.04,PLK
july,2009,94.04,OLK
july,2009,94.04,KVK
july,2009,94.04,ZLK
july,2009,94.04,ULK
july,2009,94.04,MSK
july,2009,94.04,LBK
august,2009,94.04,PHA
august,2009,94.04,HKK
august,2009,94.04,STC
august,2009,94.04,PAK
august,2009,94.04,VYS
august,2009,94.04,JHC
august,2009,94.04,JHM
august,2009,94.04,PLK
august,2009,94.04,OLK
august,2009,94.04,KVK
august,2009,94.04,ZLK
august,2009,94.04,ULK
august,2009,94.04,MSK
august,2009,94.04,LBK
september,2009,94.04,PHA
september,2009,94.04,HKK
september,2009,94.04,STC
september,2009,94.04,PAK
september,2009,94.04,VYS
september,2009,94.04,JHC
september,2009,94.04,JHM
september,2009,94.04,PLK
september,2009,94.04,OLK
september,2009,94.04,KVK
september,2009,94.04,ZLK
september,2009,94.04,ULK
september,2009,94.04,MSK
september,2009,94.04,LBK
october,2009,94.46,PHA
october,2009,94.46,HKK
october,2009,94.46,STC
october,2009,94.46,PAK
october,2009,94.46,VYS
october,2009,94.46,JHC
october,2009,94.46,JHM
october,2009,94.46,PLK
october,2009,94.46,OLK
october,2009,94.46,KVK
october,2009,94.46,ZLK
october,2009,94.46,ULK
october,2009,94.46,MSK
october,2009,94.46,LBK
november,2009,94.46,PHA
november,2009,94.46,HKK
november,2009,94.46,STC
november,2009,94.46,PAK
november,2009,94.46,VYS
november,2009,94.46,JHC
november,2009,94.46,JHM
november,2009,94.46,PLK
november,2009,94.46,OLK
november,2009,94.46,KVK
november,2009,94.46,ZLK
november,2009,94.46,ULK
november,2009,94.46,MSK
november,2009,94.46,LBK
december,2009,94.46,PHA
december,2009,94.46,HKK
december,2009,94.46,STC
december,2009,94.46,PAK
december,2009,94.46,VYS
december,2009,94.46,JHC
december,2009,94.46,JHM
december,2009,94.46,PLK
december,2009,94.46,OLK
december,2009,94.46,KVK
december,2009,94.46,ZLK
december,2009,94.46,ULK
december,2009,94.46,MSK
december,2009,94.46,LBK
january,2010,93.05,PHA
january,2010,93.05,HKK
january,2010,93.05,STC
january,2010,93.05,PAK
january,2010,93.05,VYS
january,2010,93.05,JHC
january,2010,93.05,JHM
january,2010,93.05,PLK
january,2010,93.05,OLK
january,2010,93.05,KVK
january,2010,93.05,ZLK
january,2010,93.05,ULK
january,2010,93.05,MSK
january,2010,93.05,LBK
february,2010,93.05,PHA
february,2010,93.05,HKK
february,2010,93.05,STC
february,2010,93.05,PAK
february,2010,93.05,VYS
february,2010,93.05,JHC
february,2010,93.05,JHM
february,2010,93.05,PLK
february,2010,93.05,OLK
february,2010,93.05,KVK
february,2010,93.05,ZLK
february,2010,93.05,ULK
february,2010,93.05,MSK
february,2010,93.05,LBK
march,2010,93.05,PHA
march,2010,93.05,HKK
march,2010,93.05,STC
march,2010,93.05,PAK
march,2010,93.05,VYS
march,2010,93.05,JHC
march,2010,93.05,JHM
march,2010,93.05,PLK
march,2010,93.05,OLK
march,2010,93.05,KVK
march,2010,93.05,ZLK
march,2010,93.05,ULK
march,2010,93.05,MSK
march,2010,93.05,LBK
april,2010,93.21,PHA
april,2010,93.21,HKK
april,2010,93.21,STC
april,2010,93.21,PAK
april,2010,93.21,VYS
april,2010,93.21,JHC
april,2010,93.21,JHM
april,2010,93.21,PLK
april,2010,93.21,OLK
april,2010,93.21,KVK
april,2010,93.21,ZLK
april,2010,93.21,ULK
april,2010,93.21,MSK
april,2010,93.21,LBK
may,2010,93.21,PHA
may,2010,93.21,HKK
may,2010,93.21,STC
may,2010,93.21,PAK
may,2010,93.21,VYS
may,2010,93.21,JHC
may,2010,93.21,JHM
may,2010,93.21,PLK
may,2010,93.21,OLK
may,2010,93.21,KVK
may,2010,93.21,ZLK
may,2010,93.21,ULK
may,2010,93.21,MSK
may,2010,93.21,LBK
june,2010,93.21,PHA
june,2010,93.21,HKK
june,2010,93.21,STC
june,2010,93.21,PAK
june,2010,93.21,VYS
june,2010,93.21,JHC
june,2010,93.21,JHM
june,2010,93.21,PLK
june,2010,93.21,OLK
june,2010,93.21,KVK
june,2010,93.21,ZLK
june,2010,93.21,ULK
june,2010,93.21,MSK
june,2010,93.21,LBK
july,2010,96.12,PHA
july,2010,96.12,HKK
july,2010,96.12,STC
july,2010,96.12,PAK
july,2010,96.12,VYS
july,2010,96.12,JHC
july,2010,96.12,JHM
july,2010,96.12,PLK
july,2010,96.12,OLK
july,2010,96.12,KVK
july,2010,96.12,ZLK
july,2010,96.12,ULK
july,2010,96.12,MSK
july,2010,96.12,LBK
august,2010,96.12,PHA
august,2010,96.12,HKK
august,2010,96.12,STC
august,2010,96.12,PAK
august,2010,96.12,VYS
august,2010,96.12,JHC
august,2010,96.12,JHM
august,2010,96.12,PLK
august,2010,96.12,OLK
august,2010,96.12,KVK
august,2010,96.12,ZLK
august,2010,96.12,ULK
august,2010,96.12,MSK
august,2010,96.12,LBK
september,2010,96.12,PHA
september,2010,96.12,HKK
september,2010,96.12,STC
september,2010,96.12,PAK
september,2010,96.12,VYS
september,2010,96.12,JHC
september,2010,96.12,JHM
september,2010,96.12,PLK
september,2010,96.12,OLK
september,2010,96.12,KVK
september,2010,96.12,ZLK
september,2010,96.12,ULK
september,2010,96.12,MSK
september,2010,96.12,LBK
october,2010,97.42,PHA
october,2010,97.42,HKK
october,2010,97.42,STC
october,2010,97.42,PAK
october,2010,97.42,VYS
october,2010,97.42,JHC
october,2010,97.42,JHM
october,2010,97.42,PLK
october,2010,97.42,OLK
october,2010,97.42,KVK
october,2010,97.42,ZLK
october,2010,97.42,ULK
october,2010,97.42,MSK
october,2010,97.42,LBK
november,2010,97.42,PHA
november,2010,97.42,HKK
november,2010,97.42,STC
november,2010,97.42,PAK
november,2010,97.42,VYS
november,2010,97.42,JHC
november,2010,97.42,JHM
november,2010,97.42,PLK
november,2010,97.42,OLK
november,2010,97.42,KVK
november,2010,97.42,ZLK
november,2010,97.42,ULK
november,2010,97.42,MSK
november,2010,97.42,LBK
december,2010,97.42,PHA
december,2010,97.42,HKK
december,2010,97.42,STC
december,2010,97.42,PAK
december,2010,97.42,VYS
december,2010,97.42,JHC
december,2010,97.42,JHM
december,2010,97.42,PLK
december,2010,97.42,OLK
december,2010,97.42,KVK
december,2010,97.42,ZLK
december,2010,97.42,ULK
december,2010,97.42,MSK
december,2010,97.42,LBK
january,2011,97.58,PHA
january,2011,97.58,HKK
january,2011,97.58,STC
january,2011,97.58,PAK
january,2011,97.58,VYS
january,2011,97.58,JHC
january,2011,97.58,JHM
january,2011,97.58,PLK
january,2011,97.58,OLK
january,2011,97.58,KVK
january,2011,97.58,ZLK
january,2011,97.58,ULK
january,2011,97.58,MSK
january,2011,97.58,LBK
february,2011,97.58,PHA
february,2011,97.58,HKK
february,2011,97.58,STC
february,2011,97.58,PAK
february,2011,97.58,VYS
february,2011,97.58,JHC
february,2011,97.58,JHM
february,2011,97.58,PLK
february,2011,97.58,OLK
february,2011,97.58,KVK
february,2011,97.58,ZLK
february,2011,97.58,ULK
february,2011,97.58,MSK
february,2011,97.58,LBK
march,2011,97.58,PHA
march,2011,97.58,HKK
march,2011,97.58,STC
march,2011,97.58,PAK
march,2011,97.58,VYS
march,2011,97.58,JHC
march,2011,97.58,JHM
march,2011,97.58,PLK
march,2011,97.58,OLK
march,2011,97.58,KVK
march,2011,97.58,ZLK
march,2011,97.58,ULK
march,2011,97.58,MSK
march,2011,97.58,LBK
april,2011,98.69,PHA
april,2011,98.69,HKK
april,2011,98.69,STC
april,2011,98.69,PAK
april,2011,98.69,VYS
april,2011,98.69,JHC
april,2011,98.69,JHM
april,2011,98.69,PLK
april,2011,98.69,OLK
april,2011,98.69,KVK
april,2011,98.69,ZLK
april,2011,98.69,ULK
april,2011,98.69,MSK
april,2011,98.69,LBK
may,2011,98.69,PHA
may,2011,98.69,HKK
may,2011,98.69,STC
may,2011,98.69,PAK
may,2011,98.69,VYS
may,2011,98.69,JHC
may,2011,98.69,JHM
may,2011,98.69,PLK
may,2011,98.69,OLK
may,2011,98.69,KVK
may,2011,98.69,ZLK
may,2011,98.69,ULK
may,2011,98.69,MSK
may,2011,98.69,LBK
june,2011,98.69,PHA
june,2011,98.69,HKK
june,2011,98.69,STC
june,2011,98.69,PAK
june,2011,98.69,VYS
june,2011,98.69,JHC
june,2011,98.69,JHM
june,2011,98.69,PLK
june,2011,98.69,OLK
june,2011,98.69,KVK
june,2011,98.69,ZLK
june,2011,98.69,ULK
june,2011,98.69,MSK
june,2011,98.69,LBK
july,2011,98.96,PHA
july,2011,98.96,HKK
july,2011,98.96,STC
july,2011,98.96,PAK
july,2011,98.96,VYS
july,2011,98.96,JHC
july,2011,98.96,JHM
july,2011,98.96,PLK
july,2011,98.96,OLK
july,2011,98.96,KVK
july,2011,98.96,ZLK
july,2011,98.96,ULK
july,2011,98.96,MSK
july,2011,98.96,LBK
august,2011,98.96,PHA
august,2011,98.96,HKK
august,2011,98.96,STC
august,2011,98.96,PAK
august,2011,98.96,VYS
august,2011,98.96,JHC
august,2011,98.96,JHM
august,2011,98.96,PLK
august,2011,98.96,OLK
august,2011,98.96,KVK
august,2011,98.96,ZLK
august,2011,98.96,ULK
august,2011,98.96,MSK
august,2011,98.96,LBK
september,2011,98.96,PHA
september,2011,98.96,HKK
september,2011,98.96,STC
september,2011,98.96,PAK
september,2011,98.96,VYS
september,2011,98.96,JHC
september,2011,98.96,JHM
september,2011,98.96,PLK
september,2011,98.96,OLK
september,2011,98.96,KVK
september,2011,98.96,ZLK
september,2011,98.96,ULK
september,2011,98.96,MSK
september,2011,98.96,LBK
october,2011,95.56,PHA
october,2011,95.56,HKK
october,2011,95.56,STC
october,2011,95.56,PAK
october,2011,95.56,VYS
october,2011,95.56,JHC
october,2011,95.56,JHM
october,2011,95.56,PLK
october,2011,95.56,OLK
october,2011,95.56,KVK
october,2011,95.56,ZLK
october,2011,95.56,ULK
october,2011,95.56,MSK
october,2011,95.56,LBK
november,2011,95.56,PHA
november,2011,95.56,HKK
november,2011,95.56,STC
november,2011,95.56,PAK
november,2011,95.56,VYS
november,2011,95.56,JHC
november,2011,95.56,JHM
november,2011,95.56,PLK
november,2011,95.56,OLK
november,2011,95.56,KVK
november,2011,95.56,ZLK
november,2011,95.56,ULK
november,2011,95.56,MSK
november,2011,95.56,LBK
december,2011,95.56,PHA
december,2011,95.56,HKK
december,2011,95.56,STC
december,2011,95.56,PAK
december,2011,95.56,VYS
december,2011,95.56,JHC
december,2011,95.56,JHM
december,2011,95.56,PLK
december,2011,95.56,OLK
december,2011,95.56,KVK
december,2011,95.56,ZLK
december,2011,95.56,ULK
december,2011,95.56,MSK
december,2011,95.56,LBK
january,2012,95.92,PHA
january,2012,95.92,HKK
january,2012,95.92,STC
january,2012,95.92,PAK
january,2012,95.92,VYS
january,2012,95.92,JHC
january,2012,95.92,JHM
january,2012,95.92,PLK
january,2012,95.92,OLK
january,2012,95.92,KVK
january,2012,95.92,ZLK
january,2012,95.92,ULK
